strategy,pair,n,mean_R,ci_low,nw_t,A,B,hold,rand,edge,verdict
sma,EUR_NOK,255,-0.16204193982103346,-0.31314891413518364,-2.101836817862113,-0.21377923095041068,-0.20502674512012084,0.04308653610733609,-0.12726197380275744,-0.034779966018276015,none
cci,GBP_CAD,1156,-0.061165281784148574,-0.144683470496444,-1.4354232789926638,-0.0878579735287087,-0.0038242380264058786,-0.1258960611760428,-0.021977989730740978,-0.039187292053407596,none
sma,USD_JPY,246,-0.1265035667797597,-0.282206311424521,-1.5924381516461044,0.13036454384909366,-0.3136273616544515,-0.10792853497762528,-0.07934598001067202,-0.0471575867690877,none
sma,CAD_JPY,254,-0.0691147447010389,-0.196799755010694,-1.0609303260070526,-0.09873427827445443,-0.01163594816383743,-0.11649348569889166,-0.019862551742171934,-0.049252192958866965,none
bb,USD_JPY,208,-0.15861442311334173,-0.3173828445475143,-1.9580988870072398,-0.04706947938198763,-0.3044786757618062,-0.035633818171948085,-0.10497736971023312,-0.053637053403108606,none
cci,NZD_JPY,1224,-0.13282554548914585,-0.21598437781558893,-3.130612370033757,-0.02467057665991457,-0.29301248159870963,0.027218007799360996,-0.07548666502882832,-0.05733888046031753,none
sma,USD_SGD,211,-0.06331699694491634,-0.20129088380314158,-0.899455084131652,-0.0551938510378916,0.039924621167377085,-0.2293135319925792,-0.003274865880774114,-0.060042131064142225,none
sma,NZD_CHF,269,-0.09204693460847337,-0.34970271939707864,-0.7002054775545891,-0.14483343117181502,-0.28298083499551213,0.5741294394841444,-0.030284862244488266,-0.0617620723639851,none
sma,EUR_USD,222,-0.10440634422898672,-0.2195424233553087,-1.7773441326267179,-0.11784231754996063,-0.10513901904013347,-0.0824675250235806,-0.023385773454499128,-0.08102057077448759,none
bb,NZD_JPY,233,-0.1680267598251319,-0.275665538937261,-3.0596078102501294,-0.20786489975986136,-0.24951259396465914,0.0968034714007513,-0.0679181230897502,-0.1001086367353817,none
sma,CHF_JPY,256,-0.2404702245511519,-0.3685717585557746,-3.6792817805230142,-0.1056310083939984,-0.3585490019229903,-0.2116864738842701,-0.11041369843358724,-0.13005652611756469,none
sma,EUR_CAD,309,0.1588550156510726,0.0064419613067420445,2.0428422749975814,0.20721337353710692,0.20286445364188377,-0.015248203053890337,-0.07943318911415496,0.23828820476522755,promising
ema,NZD_CHF,239,0.1451025496257223,-0.03899339474832825,1.544852051105281,0.19677050308676064,-0.03937607402957145,0.521178451831723,-0.02019522480832357,0.16529777443404586,promising
sma,EUR_GBP,285,0.09187917953819506,-0.040089226518750784,1.364593217994574,0.124548624067898,0.012611291231879911,0.2639704634735247,-0.06823287763348661,0.16011205717168167,promising
bb,EUR_CAD,253,0.0815240655656054,-0.07937764747070133,0.9930731344826101,0.01648229016523877,0.2287510305743843,-0.08957434570189182,-0.07218128072748112,0.15370534629308652,promising
