tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,trigger,direction,total_n
2.0,-1.0,0.0,-1.0,-1.0,2.0,0.0,1.0,-1.96,1.96,USD_CHF,20,30,di_cross_with_adx,long,4
3.0,0.9534659577002658,0.04653404229973427,0.8622592347927867,1.0446726806077449,2.0,-1.0,0.0,-1.0,-1.0,USD_CHF,20,30,di_cross_with_adx,short,5
51.0,-0.13725490196078433,0.14008291058424904,-0.41181740670591244,0.13730760278434379,23.0,-0.13043478260869565,0.21137931948017294,-0.5447382487898346,0.2838686835724433,NZD_USD,14,20,adx_cross,long,74
42.0,0.14285714285714285,0.1545719373715598,-0.16010385439111435,0.44581814010540005,19.0,-0.6842105263157895,0.17189401703741597,-1.0211227997091248,-0.3472982529224542,NZD_USD,14,20,adx_cross,short,61
50.0,0.08,0.14239926622145274,-0.19910256179404734,0.35910256179404737,22.0,-0.2727272727272727,0.20994555243259116,-0.6842205554951514,0.13876601004060596,NZD_USD,14,20,di_cross_with_adx,long,72
50.0,-0.04,0.14274281139196338,-0.3197759103282482,0.23977591032824822,22.0,0.18181818181818182,0.2145806706734845,-0.23875993270184775,0.6023962963382115,NZD_USD,14,20,di_cross_with_adx,short,72
47.0,0.14893617021276595,0.1457975082689772,-0.13682694599442935,0.43469928641996125,21.0,-0.14285714285714285,0.22131333406899525,-0.5766312776323735,0.29091699191808784,NZD_USD,14,25,adx_cross,long,68
50.0,0.16,0.14101671633432072,-0.11639276401526863,0.4363927640152686,22.0,0.09090909090909091,0.21731429260625335,-0.33502692259916567,0.5168451044173474,NZD_USD,14,25,adx_cross,short,72
23.0,-0.043478260869565216,0.21299910806810243,-0.46095651268304594,0.37399999094391556,11.0,-0.45454545454545453,0.2816715160878121,-1.0066216260775662,0.09753071698665722,NZD_USD,14,25,di_cross_with_adx,long,34
21.0,0.23809523809523808,0.21717627144745486,-0.1875702539417734,0.6637607301322496,9.0,0.3333333333333333,0.3333333333333333,-0.32,0.9866666666666666,NZD_USD,14,25,di_cross_with_adx,short,30
36.0,0.1111111111111111,0.16798421022632323,-0.2181379409324824,0.4403601631547046,16.0,-0.125,0.25617376914899,-0.6271005875320204,0.37710058753202036,NZD_USD,14,30,adx_cross,long,52
35.0,0.14285714285714285,0.16973957879600132,-0.1898324315830197,0.4755467172973054,16.0,0.125,0.25617376914899,-0.37710058753202036,0.6271005875320204,NZD_USD,14,30,adx_cross,short,51
11.0,0.2727272727272727,0.30424000964875475,-0.32358314618428663,0.869037691638832,5.0,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,NZD_USD,14,30,di_cross_with_adx,long,16
11.0,0.45454545454545453,0.2816715160878121,-0.09753071698665722,1.0066216260775662,5.0,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,NZD_USD,14,30,di_cross_with_adx,short,16
30.0,0.13333333333333333,0.1840373108931074,-0.22737979601715716,0.4940464626838238,14.0,0.14285714285714285,0.2745054065230065,-0.39517345392794984,0.6808877396422355,NZD_USD,20,20,adx_cross,long,44
33.0,0.21212121212121213,0.17275385228774817,-0.1264763383627743,0.5507187626051986,15.0,0.7333333333333333,0.1817027050317992,0.3771960314710069,1.0894706351956596,NZD_USD,20,20,adx_cross,short,48
