period,adx_min,adx_max,rising,di,N,regime,n,exp,lift,t,win
28,30,999,0,s0,15,nonbull,10368,0.2238,0.0174,1.3,0.36
28,30,999,0,s20,10,all,40270,0.3057,0.206,29.7,0.37
28,30,999,0,s20,10,bull,36333,0.3056,0.2328,31.8,0.373
28,30,999,0,s20,10,nonbull,3937,0.3075,0.1168,5.5,0.342
28,30,999,0,s20,15,all,40031,0.3165,0.2098,29.2,0.404
28,30,999,0,s20,15,bull,36094,0.3155,0.2384,31.5,0.406
28,30,999,0,s20,15,nonbull,3937,0.3265,0.1201,5.4,0.389
28,30,999,1,off,10,all,75623,0.185,0.0852,17.3,0.317
28,30,999,1,off,10,bull,61056,0.1509,0.0782,14.2,0.313
28,30,999,1,off,10,nonbull,14567,0.3278,0.1371,12.2,0.336
28,30,999,1,off,15,all,75267,0.1986,0.0919,17.8,0.36
28,30,999,1,off,15,bull,60700,0.1612,0.0842,14.7,0.352
28,30,999,1,off,15,nonbull,14567,0.3547,0.1483,12.6,0.396
28,30,999,1,s0,10,all,56160,0.1801,0.0803,13.9,0.327
28,30,999,1,s0,10,bull,50764,0.1797,0.107,17.5,0.33
28,30,999,1,s0,10,nonbull,5396,0.1833,-0.0074,-0.4,0.302
28,30,999,1,s0,15,all,55858,0.1899,0.0831,13.8,0.365
28,30,999,1,s0,15,bull,50462,0.1889,0.1119,17.6,0.366
28,30,999,1,s0,15,nonbull,5396,0.1993,-0.007,-0.4,0.353
28,30,999,1,s20,10,all,35855,0.2559,0.1562,21.3,0.356
28,30,999,1,s20,10,bull,32503,0.2558,0.1831,23.7,0.359
28,30,999,1,s20,10,nonbull,3352,0.2572,0.0665,2.9,0.327
28,30,999,1,s20,15,all,35621,0.2642,0.1575,20.7,0.389
28,30,999,1,s20,15,bull,32269,0.2633,0.1862,23.3,0.391
28,30,999,1,s20,15,nonbull,3352,0.2736,0.0672,2.8,0.375
28,35,60,0,off,10,all,62651,0.145,0.0453,8.5,0.294
28,35,60,0,off,10,bull,50129,0.1004,0.0277,4.7,0.288
28,35,60,0,off,10,nonbull,12522,0.3237,0.1331,11.2,0.317
28,35,60,0,off,15,all,62428,0.1643,0.0575,10.3,0.341
28,35,60,0,off,15,bull,49906,0.1134,0.0364,5.8,0.332
28,35,60,0,off,15,nonbull,12522,0.3672,0.1608,12.9,0.38
28,35,60,0,s0,10,all,47007,0.1233,0.0235,3.8,0.299
28,35,60,0,s0,10,bull,42296,0.1125,0.0398,6.1,0.298
28,35,60,0,s0,10,nonbull,4711,0.2203,0.0297,1.5,0.309
28,35,60,0,s0,15,all,46810,0.1342,0.0274,4.2,0.342
