indicator,horizon,regime,n,mean_fwd,baseline,edge,t
stoch_oversold(<20),10,all,323270,2.5958,1.2298,1.366,0.69
stoch_oversold(<20),10,bull,236575,0.4388,0.7903,-0.3515,-5.87
stoch_oversold(<20),10,nonbull,86695,8.4819,2.6933,5.7886,0.79
cci_oversold(<-100),10,all,319279,0.5776,1.2298,-0.6522,-10.24
cci_oversold(<-100),10,bull,230753,0.4339,0.7903,-0.3564,-4.79
cci_oversold(<-100),10,nonbull,88526,0.952,2.6933,-1.7414,-14.16
cci_break(x+100up),10,all,97506,0.4028,1.2298,-0.827,-21.01
cci_break(x+100up),10,bull,76204,0.2186,0.7903,-0.5717,-12.44
cci_break(x+100up),10,nonbull,21302,1.0616,2.6933,-1.6317,-22.14
bb_lower_touch,10,all,93629,0.5755,1.2298,-0.6543,-6.12
bb_lower_touch,10,bull,65572,0.3317,0.7903,-0.4586,-9.47
bb_lower_touch,10,nonbull,28057,1.1452,2.6933,-1.5481,-4.58
bb_upper_break(x up),10,all,58774,0.2753,1.2298,-0.9545,-15.66
bb_upper_break(x up),10,bull,46908,0.2363,0.7903,-0.5539,-7.78
bb_upper_break(x up),10,nonbull,11866,0.4294,2.6933,-2.2639,-20.74
macd_bull_cross,10,all,69549,0.5141,1.2298,-0.7157,-12.86
macd_bull_cross,10,bull,54847,0.2901,0.7903,-0.5002,-9.07
macd_bull_cross,10,nonbull,14702,1.3497,2.6933,-1.3436,-8.19
roc_pos(>0),10,all,961047,1.123,1.2298,-0.1067,-0.15
roc_pos(>0),10,bull,751350,1.12,0.7903,0.3297,0.35
roc_pos(>0),10,nonbull,209697,1.1341,2.6933,-1.5592,-64.21
"adx_uptrend(>25,+DI)",10,all,409406,3.5682,1.2298,2.3384,1.01
"adx_uptrend(>25,+DI)",10,bull,337908,2.4293,0.7903,1.639,0.79
"adx_uptrend(>25,+DI)",10,nonbull,71498,8.9505,2.6933,6.2572,0.7
donchian20_break,10,all,137322,0.2501,1.2298,-0.9797,-31.98
donchian20_break,10,bull,107278,0.2095,0.7903,-0.5808,-16.32
donchian20_break,10,nonbull,30044,0.3949,2.6933,-2.2984,-39.16
aroonosc_up(>50),10,all,628221,0.3675,1.2298,-0.8623,-60.3
aroonosc_up(>50),10,bull,501269,0.2941,0.7903,-0.4962,-31.37
aroonosc_up(>50),10,nonbull,126952,0.6574,2.6933,-2.0359,-61.24
obv_rising(10d),10,all,967438,1.8237,1.2298,0.5939,0.61
obv_rising(10d),10,bull,755812,1.1807,0.7903,0.3904,0.42
obv_rising(10d),10,nonbull,211626,4.1202,2.6933,1.4269,0.47
cmf_pos(>0),10,all,943540,1.8101,1.2298,0.5804,0.58
cmf_pos(>0),10,bull,721339,1.2074,0.7903,0.4171,0.43
cmf_pos(>0),10,nonbull,222201,3.7669,2.6933,1.0736,0.37
mfi_oversold(<20),10,all,53010,0.6807,1.2298,-0.5491,-3.18
mfi_oversold(<20),10,bull,37765,0.3647,0.7903,-0.4255,-4.59
mfi_oversold(<20),10,nonbull,15245,1.4634,2.6933,-1.2299,-2.22
rvol_high(>1.5x),10,all,211493,3.7012,1.2298,2.4714,0.75
rvol_high(>1.5x),10,bull,160218,4.6681,0.7903,3.8778,0.89
rvol_high(>1.5x),10,nonbull,51275,0.6799,2.6933,-2.0134,-10.01
engulfing_bull,10,all,67145,0.3415,1.2298,-0.8883,-13.26
engulfing_bull,10,bull,51310,0.2487,0.7903,-0.5416,-8.35
engulfing_bull,10,nonbull,15835,0.6423,2.6933,-2.051,-10.73
hammer,10,all,42712,15.8676,1.2298,14.6378,0.98
hammer,10,bull,32668,0.8413,0.7903,0.051,0.15
hammer,10,nonbull,10044,64.7405,2.6933,62.0472,0.98
gap_up(>2%),10,all,93570,0.8827,1.2298,-0.3471,-2.67
gap_up(>2%),10,bull,61969,0.1263,0.7903,-0.664,-5.35
gap_up(>2%),10,nonbull,31601,2.3659,2.6933,-0.3274,-1.1
above_sma200,10,all,957863,0.4,1.2298,-0.8297,-74.67
above_sma200,10,bull,852970,0.4129,0.7903,-0.3774,-31.97
above_sma200,10,nonbull,104893,0.2956,2.6933,-2.3977,-72.96
golden_cross,10,all,4882,0.2809,1.2298,-0.9489,-5.09
golden_cross,10,bull,3993,0.4097,0.7903,-0.3805,-1.78
golden_cross,10,nonbull,889,-0.298,2.6933,-2.9913,-8.65
sma50_reclaim(x up),10,all,61463,0.3059,1.2298,-0.9239,-16.4
sma50_reclaim(x up),10,bull,48193,0.1114,0.7903,-0.6789,-10.4
sma50_reclaim(x up),10,nonbull,13270,1.0124,2.6933,-1.6809,-15.5
sma20_pullback_uptrend,10,all,122899,0.3701,1.2298,-0.8597,-18.01
sma20_pullback_uptrend,10,bull,101947,0.3558,0.7903,-0.4345,-7.9
sma20_pullback_uptrend,10,nonbull,20952,0.4394,2.6933,-2.2539,-27.25
rsi_oversold(<30),20,all,72694,1.7551,1.536,0.219,1.71
rsi_oversold(<30),20,bull,46127,0.2705,1.3276,-1.0571,-6.54
rsi_oversold(<30),20,nonbull,26567,4.3326,2.2255,2.1072,10.12
rsi_exit_oversold(x30up),20,all,21395,1.2295,1.536,-0.3065,-1.69
rsi_exit_oversold(x30up),20,bull,13921,-0.4361,1.3276,-1.7637,-8.38
rsi_exit_oversold(x30up),20,nonbull,7474,4.3319,2.2255,2.1065,6.23
rsi_bull(>50),20,all,977261,0.7238,1.536,-0.8122,-24.48
rsi_bull(>50),20,bull,779234,0.5809,1.3276,-0.7467,-18.32
rsi_bull(>50),20,nonbull,198027,1.2861,2.2255,-0.9393,-28.37
williams_oversold(<-80),20,all,359111,4.2325,1.536,2.6965,0.87
williams_oversold(<-80),20,bull,264913,4.9165,1.3276,3.589,0.86
williams_oversold(<-80),20,nonbull,94198,2.3087,2.2255,0.0832,0.99
stoch_oversold(<20),20,all,321604,1.194,1.536,-0.342,-4.4
stoch_oversold(<20),20,bull,234909,0.7262,1.3276,-0.6014,-5.93
stoch_oversold(<20),20,nonbull,86695,2.4616,2.2255,0.2361,2.72
cci_oversold(<-100),20,all,317525,1.1606,1.536,-0.3754,-9.18
cci_oversold(<-100),20,bull,228999,0.6306,1.3276,-0.697,-14.83
cci_oversold(<-100),20,nonbull,88526,2.5316,2.2255,0.3061,3.74
cci_break(x+100up),20,all,96995,1.0787,1.536,-0.4573,-1.53
cci_break(x+100up),20,bull,75695,0.8164,1.3276,-0.5112,-1.34
cci_break(x+100up),20,nonbull,21300,2.0108,2.2255,-0.2146,-2.14
bb_lower_touch,20,all,93114,1.246,1.536,-0.29,-4.01
bb_lower_touch,20,bull,65057,0.4474,1.3276,-0.8801,-12.82
bb_lower_touch,20,nonbull,28057,3.0977,2.2255,0.8722,4.86
bb_upper_break(x up),20,all,58500,0.612,1.536,-0.924,-11.18
bb_upper_break(x up),20,bull,46636,0.5238,1.3276,-0.8037,-8.27
bb_upper_break(x up),20,nonbull,11864,0.9586,2.2255,-1.2669,-8.93
macd_bull_cross,20,all,69157,1.231,1.536,-0.305,-0.73
macd_bull_cross,20,bull,54455,0.9399,1.3276,-0.3876,-0.73
macd_bull_cross,20,nonbull,14702,2.3092,2.2255,0.0837,0.46
roc_pos(>0),20,all,955974,0.7852,1.536,-0.7508,-21.51
roc_pos(>0),20,bull,746292,0.4365,1.3276,-0.891,-20.75
roc_pos(>0),20,nonbull,209682,2.0261,2.2255,-0.1994,-4.51
"adx_uptrend(>25,+DI)",20,all,406747,3.2043,1.536,1.6683,0.61
"adx_uptrend(>25,+DI)",20,bull,335254,3.8609,1.3276,2.5333,0.76
"adx_uptrend(>25,+DI)",20,nonbull,71493,0.1255,2.2255,-2.1,-33.87
donchian20_break,20,all,136650,0.5191,1.536,-1.0169,-25.68
donchian20_break,20,bull,106609,0.4285,1.3276,-0.8991,-19.41
donchian20_break,20,nonbull,30041,0.8409,2.2255,-1.3846,-18.79
aroonosc_up(>50),20,all,624287,2.4776,1.536,0.9416,0.53
aroonosc_up(>50),20,bull,497341,2.792,1.3276,1.4644,0.66
aroonosc_up(>50),20,nonbull,126946,1.2459,2.2255,-0.9796,-23.01
obv_rising(10d),20,all,962492,1.9624,1.536,0.4264,0.37
obv_rising(10d),20,bull,750878,1.9682,1.3276,0.6407,0.43
obv_rising(10d),20,nonbull,211614,1.9416,2.2255,-0.2839,-5.87
cmf_pos(>0),20,all,938654,2.074,1.536,0.538,0.45
cmf_pos(>0),20,bull,716464,2.1166,1.3276,0.789,0.51
cmf_pos(>0),20,nonbull,222190,1.9366,2.2255,-0.2889,-6.67
mfi_oversold(<20),20,all,52819,1.0097,1.536,-0.5263,-4.83
mfi_oversold(<20),20,bull,37574,0.5488,1.3276,-0.7788,-6.72
mfi_oversold(<20),20,nonbull,15245,2.1455,2.2255,-0.08,-0.32
rvol_high(>1.5x),20,all,210360,1.0809,1.536,-0.4551,-3.09
rvol_high(>1.5x),20,bull,159086,0.7162,1.3276,-0.6114,-3.25
rvol_high(>1.5x),20,nonbull,51274,2.2123,2.2255,-0.0131,-0.09
engulfing_bull,20,all,66802,0.7169,1.536,-0.8191,-9.93
engulfing_bull,20,bull,50969,0.441,1.3276,-0.8866,-9.56
engulfing_bull,20,nonbull,15833,1.6052,2.2255,-0.6202,-3.47
hammer,20,all,42437,1.3678,1.536,-0.1682,-0.61
hammer,20,bull,32393,1.1463,1.3276,-0.1813,-0.51
