period,adx_min,adx_max,rising,di,N,regime,n,exp,lift,t,win
7,30,50,0,s0,10,nonbull,86454,0.143,-0.0439,-9.7,0.286
7,30,50,0,s0,15,all,403274,0.0789,-0.0232,-10.5,0.329
7,30,50,0,s0,15,bull,316820,0.0556,-0.0158,-6.4,0.325
7,30,50,0,s0,15,nonbull,86454,0.164,-0.0394,-8.2,0.344
7,30,50,0,s10,10,all,310601,0.0717,-0.0239,-9.9,0.285
7,30,50,0,s10,10,bull,244647,0.0529,-0.0152,-5.6,0.284
7,30,50,0,s10,10,nonbull,65954,0.1417,-0.0453,-8.7,0.287
7,30,50,0,s10,15,all,309882,0.0802,-0.0218,-8.7,0.33
7,30,50,0,s10,15,bull,243928,0.0579,-0.0135,-4.8,0.326
7,30,50,0,s10,15,nonbull,65954,0.1627,-0.0406,-7.4,0.345
7,30,50,0,s20,10,all,175546,0.0671,-0.0285,-8.9,0.286
7,30,50,0,s20,10,bull,138557,0.0562,-0.0119,-3.3,0.287
