period,adx_min,adx_max,rising,di,N,regime,n_sym,n_ep,lift,t
21,30,999,0,s0,10,all,1229,6814,-0.0671,-3.0
21,30,999,0,s0,10,bull,1188,5683,-0.0246,-1.0
21,30,999,0,s0,10,nonbull,631,1123,-0.2294,-5.4
21,30,999,0,s0,15,all,1228,6796,-0.0753,-3.3
21,30,999,0,s0,15,bull,1187,5665,-0.0346,-1.4
21,30,999,0,s0,15,nonbull,631,1123,-0.2515,-5.6
21,30,999,0,s20,10,all,1216,8840,-0.0904,-4.2
21,30,999,0,s20,10,bull,1182,7891,-0.0422,-1.9
21,30,999,0,s20,10,nonbull,457,938,-0.3331,-6.9
21,30,999,0,s20,15,all,1214,8809,-0.1058,-4.8
21,30,999,0,s20,15,bull,1180,7860,-0.0545,-2.4
21,30,999,0,s20,15,nonbull,457,938,-0.3687,-7.4
21,30,999,1,off,10,all,1317,16636,-0.0296,-1.7
21,30,999,1,off,10,bull,1265,12884,-0.0313,-1.7
21,30,999,1,off,10,nonbull,959,3733,-0.0559,-1.9
21,30,999,1,off,15,all,1316,16593,-0.0345,-1.9
21,30,999,1,off,15,bull,1264,12841,-0.0412,-2.1
21,30,999,1,off,15,nonbull,959,3733,-0.0586,-1.9
21,30,999,1,s0,10,all,1238,10798,-0.0791,-4.0
21,30,999,1,s0,10,bull,1208,9575,-0.0412,-2.0
21,30,999,1,s0,10,nonbull,522,1209,-0.303,-6.9
21,30,999,1,s0,15,all,1237,10765,-0.0908,-4.5
21,30,999,1,s0,15,bull,1207,9542,-0.0506,-2.4
21,30,999,1,s0,15,nonbull,522,1209,-0.3432,-7.6
