tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,tf,period,std,depth,direction,variant,total_n
156.0,-0.15715710672795524,0.08748545884083044,-0.3286286060559829,0.014314392600072418,68.0,-0.019963424296528042,0.13933595503462937,-0.2930618961644016,0.25313504757134553,EUR_USD,H4,20,1.5,0.1,long,D,224
221.0,-0.04303314972306565,0.06479768910713761,-0.17003662037305536,0.08397032092692405,95.0,0.01708812497764854,0.10028560068374219,-0.17947165236248613,0.21364790231778324,EUR_USD,H4,20,1.5,0.25,long,A,316
133.0,-0.14573978533928042,0.23640907929088867,-0.6091015807494222,0.3176220100708613,57.0,-0.5702780374286218,0.19660033840977267,-0.9556147007117762,-0.1849413741454674,EUR_USD,H4,20,1.5,0.25,long,B,190
37.0,-0.10784795590618992,0.1572674594003332,-0.41609217633084306,0.20039626451846318,16.0,0.0,0.2581988897471611,-0.5060698239044358,0.5060698239044358,EUR_USD,H4,20,1.5,0.25,long,C,53
37.0,-0.0843146766865376,0.1783088714735703,-0.43380006477473537,0.2651707114016602,16.0,-0.15929774619313342,0.28575799094240534,-0.7193834084402478,0.400787916053981,EUR_USD,H4,20,1.5,0.25,long,D,53
44.0,0.012864504922091497,0.14529777087275697,-0.27191912598851214,0.29764813583269517,19.0,-0.4129906426270604,0.20790516906171774,-0.8204847739880272,-0.005496511266093629,EUR_USD,H4,20,1.5,0.5,long,A,63
4.0,-1.0,0.0,-1.0,-1.0,3.0,-1.0,0.0,-1.0,-1.0,EUR_USD,H4,20,1.5,0.5,long,B,7
1.0,-1.0,,,,1.0,1.0,,,,EUR_USD,H4,20,1.5,0.5,long,C,2
1.0,-1.0,,,,1.0,1.3759007645770962,,,,EUR_USD,H4,20,1.5,0.5,long,D,2
2.0,0.0,1.0,-1.96,1.96,2.0,1.0,0.0,1.0,1.0,EUR_USD,H4,20,1.5,0.75,long,A,4
,,,,,,,,,,EUR_USD,H4,20,1.5,0.75,long,B,0
0.0,,,,,1.0,-1.0,,,,EUR_USD,H4,20,1.5,0.75,long,C,1
0.0,,,,,1.0,-1.0,,,,EUR_USD,H4,20,1.5,0.75,long,D,1
543.0,0.05797209165592583,0.04133286843288317,-0.023040330472525183,0.13898451378437685,234.0,0.0659405079759097,0.06318851011148431,-0.05790897184259955,0.18978998779441894,EUR_USD,H4,20,1.5,0.0,short,A,777
490.0,-0.08419449228893071,0.08683796360320553,-0.25439690095121353,0.08600791637335213,211.0,-0.13643396343853884,0.11044918602312172,-0.3529143680438574,0.08004644116677972,EUR_USD,H4,20,1.5,0.0,short,B,701
317.0,0.08716137119199582,0.05413042526791085,-0.018934262333109436,0.19325700471710108,137.0,0.042659058333474074,0.08291101976724939,-0.11984654041033471,0.20516465707728287,EUR_USD,H4,20,1.5,0.0,short,C,454
317.0,-0.023691705943240358,0.06821033971425439,-0.15738397178317895,0.11000055989669824,137.0,0.038997925311739165,0.10324260712678546,-0.1633575846567603,0.24135343528023867,EUR_USD,H4,20,1.5,0.0,short,D,454
432.0,0.07246709664489134,0.04647427087705396,-0.018622474274134423,0.16355666756391712,186.0,0.1418507627670833,0.0700452696256592,0.004562034300791273,0.27913949123337534,EUR_USD,H4,20,1.5,0.1,short,A,618
351.0,-0.05680687457617826,0.12296509088980305,-0.29781845272019225,0.18420470356783572,151.0,0.048491974638331284,0.20967612603880292,-0.36247323239772244,0.459457181674385,EUR_USD,H4,20,1.5,0.1,short,B,502
156.0,0.0653937842109102,0.07782233686329255,-0.08713799604114321,0.21792556446296363,67.0,0.11783471758713861,0.11792867646711892,-0.11330548828841448,0.3489749234626917,EUR_USD,H4,20,1.5,0.1,short,C,223
156.0,-0.012739739925737873,0.09412277859707932,-0.19722038597601335,0.1717409061245376,67.0,0.15040472410918945,0.15406044079145131,-0.15155373984205514,0.4523631880604341,EUR_USD,H4,20,1.5,0.1,short,D,223
245.0,0.062474651082532195,0.06171995773293499,-0.058496466074020384,0.18344576823908476,106.0,0.031984526587601765,0.09277788018019592,-0.14986011856558223,0.21382917174078575,EUR_USD,H4,20,1.5,0.25,short,A,351
127.0,-0.04445149765507356,0.262972908217028,-0.5598783977604485,0.4709754024503013,55.0,0.16636779090202244,0.854989494694162,-1.509411618698535,1.8421472005025799,EUR_USD,H4,20,1.5,0.25,short,B,182
39.0,-0.04168729840607382,0.15186187840804805,-0.339336580085848,0.25596198327370034,17.0,-0.08447719168645357,0.23187315077143061,-0.5389485671984575,0.36999418382555044,EUR_USD,H4,20,1.5,0.25,short,C,56
39.0,-0.13776312929923296,0.1713506907606258,-0.47361048319005955,0.19808422459159364,17.0,-0.25288165620819436,0.2555995283382024,-0.753856731751071,0.24809341933468232,EUR_USD,H4,20,1.5,0.25,short,D,56
53.0,0.12643200235068244,0.13259857215030613,-0.13346119906391754,0.38632520376528245,24.0,-0.34373762237283295,0.1860110015262753,-0.7083191853643325,0.020843940618666623,EUR_USD,H4,20,1.5,0.5,short,A,77
2.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,,,,EUR_USD,H4,20,1.5,0.5,short,B,3
2.0,0.4020237691739743,0.5979762308260257,-0.7700096432450361,1.5740571815929847,1.0,-1.0,,,,EUR_USD,H4,20,1.5,0.5,short,C,3
2.0,0.40005261952372473,1.4000526195237248,-2.3440505147427757,3.1441557537902254,1.0,-1.0,,,,EUR_USD,H4,20,1.5,0.5,short,D,3
1.0,-1.0,,,,1.0,-1.0,,,,EUR_USD,H4,20,1.5,0.75,short,A,2
,,,,,,,,,,EUR_USD,H4,20,1.5,0.75,short,B,0
,,,,,,,,,,EUR_USD,H4,20,1.5,0.75,short,C,0
,,,,,,,,,,EUR_USD,H4,20,1.5,0.75,short,D,0
337.0,-0.022986761125445176,0.05254927123645426,-0.1259833327488955,0.08000981049800517,145.0,-0.028893325724890208,0.08124445272919768,-0.18813245307411766,0.13034580162433726,EUR_USD,H4,20,2.0,0.0,long,A,482
324.0,-0.20636031326968227,0.09106075269942199,-0.38483938856054933,-0.02788123797881517,139.0,0.19680430870207394,0.21690607675839813,-0.22833160174438638,0.6219402191485343,EUR_USD,H4,20,2.0,0.0,long,B,463
214.0,0.02235723010761883,0.06540843715585218,-0.10584330671785144,0.15055776693308912,93.0,-0.058392070026704046,0.10206505085381927,-0.2584395697001898,0.1416554296467817,EUR_USD,H4,20,2.0,0.0,long,C,307
214.0,-0.20584625904029707,0.08343422851519809,-0.36937734693008534,-0.04231517115050881,93.0,-0.06839935068623514,0.13803222031799603,-0.33894250250950736,0.20214380113703706,EUR_USD,H4,20,2.0,0.0,long,D,307
172.0,-0.007014993410453132,0.07308663398906463,-0.15026479602901982,0.13623480920811354,74.0,-0.016159651794488424,0.11413010995734243,-0.2398546673108796,0.20753536372190276,EUR_USD,H4,20,2.0,0.1,long,A,246
154.0,-0.18485188799326088,0.2318689415124953,-0.6393150133577516,0.26961123737122983,66.0,0.35292699784071324,0.41327826222280434,-0.45709839611598324,1.1629523917974098,EUR_USD,H4,20,2.0,0.1,long,B,220
65.0,-0.13650298667576108,0.11887762280435328,-0.3695031273722935,0.09649715402077136,28.0,0.1628104758688871,0.18337862911730146,-0.19661163720102373,0.522232588938798,EUR_USD,H4,20,2.0,0.1,long,C,93
