tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,level,reject,direction,total_n
80,-0.0597109080158746,0.10912039112645608,-0.2735868746237285,0.15416505859197932,35,0.00801255287279058,0.16576381835910037,-0.31688453111104614,0.3329096368566273,EUR_AUD,r2,True,short,115
72,-0.15776079397686743,0.11492436521744641,-0.3830125498030624,0.06749096184932751,32,-0.1439586526150294,0.1729878022586647,-0.48301474504201225,0.1950974398119534,EUR_AUD,r3,False,short,104
25,-0.09775456919060067,0.1998254094600413,-0.4894123717322816,0.29390323335108026,12,0.0,0.30151134457776363,-0.5909622353724167,0.5909622353724167,EUR_AUD,r3,True,short,37
461,0.04633549680884536,0.04467228075602769,-0.04122217347296891,0.13389316709065963,199,0.1904434504754789,0.062474235517594,0.06799394886099466,0.31289295208996315,EUR_CAD,s1,False,long,660
186,0.13646610198526218,0.06954879974740369,0.00015045448035094777,0.2727817494901734,80,0.188473262513709,0.0953030275396169,0.0016793285360598709,0.3752671964913581,EUR_CAD,s1,True,long,266
158,-0.00351116675822814,0.07684752029897156,-0.1541323065442124,0.14710997302775614,68,0.2331727211930304,0.10953313823288817,0.018487770256569586,0.44785767212949124,EUR_CAD,s2,False,long,226
67,0.04044264285990492,0.11762794286549999,-0.19010812515647504,0.27099341087628487,29,0.0661677250231578,0.18358475319748485,-0.29365839124391246,0.4259938412902281,EUR_CAD,s2,True,long,96
60,0.24526660082422372,0.12037834865821748,0.009325037454117474,0.48120816419433,27,0.3111925218631264,0.16403473530400736,-0.010315559332728041,0.6327006030589808,EUR_CAD,s3,False,long,87
23,0.061488300123485704,0.19691904584367326,-0.3244730297301139,0.4474496299770853,11,0.5125736128844213,0.2565642051142388,0.009707770860513332,1.0154394549083292,EUR_CAD,s3,True,long,34
476,0.0326316858777765,0.04450053004310533,-0.054589353006709945,0.11985272476226294,205,-0.034839076489250206,0.06148915112131287,-0.15535781268702342,0.08567965970852301,EUR_CAD,r1,False,short,681
179,0.08174663613363095,0.07326545264771753,-0.06185365105589541,0.2253469233231573,78,-0.12821338298984924,0.09763700203844534,-0.3195819069852021,0.06315514100550362,EUR_CAD,r1,True,short,257
174,-0.009979833237426261,0.07396526051644314,-0.15495174384965482,0.1349920773748023,75,-0.09528038384291625,0.10108816145790436,-0.2934131803004088,0.1028524126145763,EUR_CAD,r2,False,short,249
66,-0.027124696880728376,0.12187402337226176,-0.2659977826903614,0.21174838892890466,29,0.0181361951778962,0.16170272108757164,-0.2988011381537442,0.33507352850953664,EUR_CAD,r2,True,short,95
64,0.08856416803032127,0.11870793311511112,-0.1441033808752965,0.32123171693593905,28,-0.26166474932016015,0.15960002091532827,-0.5744807903142035,0.05115129167388327,EUR_CAD,r3,False,short,92
21,0.02316031844586062,0.20171146486891026,-0.37219415269720346,0.41851478958892474,10,-0.26315915419941616,0.2694052222439108,-0.7911933897974813,0.264875081398649,EUR_CAD,r3,True,short,31
456,-0.02370909447176752,0.03796699350914081,-0.09812440174968351,0.05070621280614846,196,-0.07212960690350356,0.0589389477246992,-0.187649944443914,0.04339073063690688,EUR_CHF,s1,False,long,652
186,-0.027290350486046847,0.058388211103616014,-0.14173124424913425,0.08715054327704054,80,-0.13762326431071092,0.0897546091897582,-0.31354229832263697,0.03829576970121512,EUR_CHF,s1,True,long,266
168,-0.11684750545854919,0.06218247744644618,-0.2387251612535837,0.005030150336485323,72,-0.03807503841591916,0.09705429309063515,-0.22830145287356407,0.15215137604172574,EUR_CHF,s2,False,long,240
62,-0.06762947572932408,0.09827825755358228,-0.2602548605343454,0.1249959090756972,28,-0.0996596342099545,0.16424000161131558,-0.42157003736813303,0.22225076894822404,EUR_CHF,s2,True,long,90
51,-0.06785880960056348,0.11468719850936974,-0.2926457186789282,0.1569280994778012,23,-0.07973163354055597,0.19168086788063995,-0.45542613458661024,0.29596286750549833,EUR_CHF,s3,False,long,74
20,-0.0456810321584465,0.189738868514573,-0.41756921444700956,0.3262071501301166,9,-0.29999429413600553,0.2739132912412609,-0.8368643449688768,0.23687575669686578,EUR_CHF,s3,True,long,29
443,0.0011398755607254082,0.039404559832860835,-0.07609306171168183,0.07837281283313265,191,0.053038306525030526,0.0628316869116146,-0.07011179982173409,0.17618841287179515,EUR_CHF,r1,False,short,634
178,0.024956100894803167,0.062221312247285956,-0.0969976711098773,0.14690987289948362,77,0.017418940471231013,0.09960819534692945,-0.17781312240875072,0.21265100335121276,EUR_CHF,r1,True,short,255
