tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,level,reject,direction,total_n
831,0.05481559689755944,0.033140797737607364,-0.01014036666815099,0.11977156046326987,357,0.10786647210449779,0.04733175479621047,0.015096232703925266,0.20063671150507031,EUR_CAD,s1,False,long,1188
452,0.07818976203246923,0.044728177434470315,-0.009477465739092583,0.16585698980403105,195,0.1528704004681188,0.0629830551540294,0.029423612366221194,0.2763171885700164,EUR_CAD,s1,True,long,647
306,0.06553301649173356,0.054756512105212346,-0.041789747234482644,0.17285578021794976,132,0.19221563703258765,0.07772188906250278,0.039880734470082196,0.3445505395950931,EUR_CAD,s2,False,long,438
170,0.06105841831477729,0.07366999749657659,-0.08333477677851281,0.2054516134080674,74,0.19037641326680851,0.10623341306039649,-0.017841076331568617,0.39859390286518565,EUR_CAD,s2,True,long,244
114,0.07605552719271658,0.08933301154804602,-0.0990371754414536,0.2511482298268868,50,0.2019620454518064,0.12650141699564132,-0.0459807318596506,0.4499048227632634,EUR_CAD,s3,False,long,164
62,-0.05731591683635226,0.11841727574987818,-0.2894137773061135,0.17478194363340896,27,0.15620479571584558,0.17764952057743405,-0.19198826461592514,0.5043978560476163,EUR_CAD,s3,True,long,89
850,-0.012603664711630635,0.03298820706317744,-0.07726055055545841,0.052053221132197146,365,-0.06345005559132799,0.046717022381211844,-0.15501541945850322,0.028115308275847226,EUR_CAD,r1,False,short,1215
428,-0.06794202329139738,0.04641622499224752,-0.15891782427620252,0.023033777693407753,184,-0.10530056043576297,0.06517900854979791,-0.23305141719336686,0.022450296321840923,EUR_CAD,r1,True,short,612
346,0.00590972864847359,0.05226077697358266,-0.09652139421974842,0.10834085151669559,149,-0.09777048771046248,0.07374996021585038,-0.24232040973352922,0.04677943431260426,EUR_CAD,r2,False,short,495
175,-0.08706836085123142,0.07372178321046412,-0.2315630559437411,0.05742633424127826,76,0.027548136805756858,0.10332866806934939,-0.17497605261016794,0.23007232622168164,EUR_CAD,r2,True,short,251
