sample,tp_pct,sl_pct,max_hold,hold_days,total_R_A,win_rate_A,n_A,total_R_B,win_rate_B,n_B,total_R_recent_holdout,win_rate_recent_holdout,n_recent_holdout,total_R,n_trades,win_rate,profitable_all_eras
long_mr_full6,0.006,0.01,120,20,335.6463304088022,0.6311206815841214,21362,294.2425463055278,0.6287107414312347,20919,272.29684398790926,0.6342481477616613,9583,902.1857207022393,51864,0.6307265155020824,True
long_mr_strong4,0.006,0.015,36,6,28.69741705780193,0.6321580547112462,16450,238.3500391370215,0.6396761133603239,16302,131.51038809975873,0.6314011620051344,7401,398.5578442945822,40153,0.635070853983513,True
long_mr_full6,0.006,0.015,36,6,165.37284920305535,0.6359423274974253,21362,377.2080868139536,0.6427171470911611,20919,164.11259368905579,0.6301341589267286,9690,706.6935297060647,51971,0.6375863462315522,True
long_mr_strong4,0.006,0.015,60,10,90.4924866449806,0.6702127659574468,16450,249.18597754900736,0.673721015826279,16302,148.53233811220437,0.6697743548169166,7401,488.21080230619236,40153,0.6715562971633502,True
long_mr_full6,0.006,0.015,60,10,260.34039627771267,0.674843179477577,21362,390.823074888806,0.6769922080405373,20919,229.51347535787437,0.6712074303405573,9690,880.6769465243931,51971,0.6750303053626061,True
long_mr_strong4,0.006,0.015,84,14,106.59152390819519,0.6919148936170213,16450,236.07466504825456,0.6923076923076923,16302,230.28976533543715,0.6958519119037968,7401,572.9559542918869,40153,0.692800039847583,True
long_mr_full6,0.006,0.015,84,14,272.8215905651539,0.6955341260181631,21362,390.6854780449356,0.695061905444811,20919,339.57943581308837,0.698452012383901,9690,1003.0865044231779,51971,0.6958880914356084,True
long_mr_strong4,0.006,0.015,120,20,125.74117284865727,0.7048632218844985,16450,190.76499463267174,0.70414673046252,16302,214.88417834233974,0.7086861513247746,7322,531.3903458236688,40074,0.7052702500374307,True
long_mr_full6,0.006,0.015,120,20,313.3301068892822,0.7100926879505665,21362,339.82014172518666,0.7073473875424255,20919,328.0916007293222,0.7125117395387666,9583,981.241849343791,51864,0.7094323615610058,True
long_mr_strong4,0.006,0.02,36,6,87.41146957964737,0.6461398176291794,16450,232.50274237378983,0.6507177033492823,16302,91.80400941817462,0.6400486420753952,7401,411.7182213716118,40153,0.6468757004457948,True
long_mr_full6,0.006,0.02,36,6,189.14400609108958,0.6487220297724932,21362,343.12182685828174,0.6532339021941775,20919,126.75078084842657,0.6392156862745098,9690,659.0166137977978,51971,0.6487656577706798,True
long_mr_strong4,0.006,0.02,60,10,154.42033624648192,0.693434650455927,16450,267.86679067851344,0.6970923813029076,16302,108.13645332615687,0.6847723280637752,7401,530.4235802511523,40153,0.693323039374393,True
long_mr_full6,0.006,0.02,60,10,284.46009186339296,0.6966576163280592,21362,384.7443001613867,0.7001768726994598,20919,187.45882172228818,0.6871001031991744,9690,856.6632137470679,51971,0.6962921629370226,True
long_mr_strong4,0.006,0.02,84,14,187.52163301483407,0.7248024316109423,16450,268.6339726980723,0.7243283032756717,16302,157.38668088540587,0.7199027158492096,7401,613.5422865983122,40153,0.7237068214081139,True
long_mr_full6,0.006,0.02,84,14,324.37532828011814,0.7265705458290422,21362,397.54897684260027,0.726707777618433,20919,258.74830710871095,0.7235294117647059,9690,980.6726122314293,51971,0.7260587635412057,True
long_mr_strong4,0.006,0.02,120,20,186.15010439359253,0.7464437689969605,16450,239.60187614133582,0.7449392712550608,16302,140.14881667402938,0.7376399890740235,7322,565.9007972089578,40074,0.7442231871038578,True
long_mr_full6,0.006,0.02,120,20,338.8107561144464,0.7502106544331055,21362,366.08944404504007,0.7471676466370285,20919,232.57502482339947,0.7423562558697694,9583,937.475224982886,51864,0.7475320067869813,True
long_mr_strong4,0.008,0.006,36,6,86.0585074264951,0.44468085106382976,16450,399.2771359851091,0.4541160593792173,16302,258.74052048016927,0.462234833130658,7401,744.0761638917735,40153,0.45174706746693893,True
long_mr_full6,0.008,0.006,36,6,332.3376774284769,0.44831944574478044,21362,561.638767728647,0.454945265070032,20919,326.8353432296994,0.46202270381836946,9690,1220.8117883868233,51971,0.4535413980873949,True
long_mr_strong4,0.008,0.006,60,10,64.57976030229344,0.4349544072948328,16450,404.488180107088,0.44485339222181325,16302,280.87088077967644,0.4538575868125929,7401,749.9388211890579,40153,0.44245759968121934,True
long_mr_full6,0.008,0.006,60,10,303.27248084531243,0.4392378990731205,21362,564.6192634562984,0.4451455614513122,20919,384.5107724584466,0.4540763673890609,9690,1252.4025167600576,51971,0.44438244405533855,True
long_mr_strong4,0.008,0.006,84,14,98.75920034398844,0.4348936170212766,16450,327.7833070368184,0.44025272972641394,16302,306.50502242564284,0.44764221051209296,7401,733.0475298064497,40153,0.43941922147784723,True
long_mr_full6,0.008,0.006,84,14,348.3697768671641,0.4391910869768748,21362,494.554680091448,0.4412256800038243,20919,412.52286849116945,0.44798761609907123,9690,1255.4473254497816,51971,0.44165015104577554,True
long_mr_strong4,0.008,0.006,120,20,102.30557309624105,0.43209726443769,16450,321.4212951281189,0.43792172739541163,16302,227.2890694429089,0.44113630155695166,7322,651.0159376672689,40074,0.4361181813644757,True
long_mr_full6,0.008,0.006,120,20,380.5554891698533,0.4371313547420653,21362,489.35097928153954,0.4395047564415125,20919,320.7290323077051,0.4422414692684963,9583,1190.6355007590978,51864,0.4390328551596483,True
long_mr_strong4,0.008,0.008,36,6,38.06348532789819,0.501580547112462,16450,347.3599121432201,0.5109189056557477,16302,246.32706503745985,0.516957167950277,7401,631.7504625085782,40153,0.5082061116230419,True
long_mr_full6,0.008,0.008,36,6,232.78501660421864,0.5050088942982867,21362,509.4261802705996,0.5124527941106172,20919,305.0768835253814,0.515686274509804,9690,1047.2880804001998,51971,0.5099959592849859,True
long_mr_strong4,0.008,0.008,60,10,42.29195200418331,0.500243161094225,16450,388.018168404046,0.5109189056557477,16302,291.4514540258914,0.5211457911093096,7401,721.7615744341207,40153,0.508430254277389,True
long_mr_full6,0.008,0.008,60,10,215.5220591672641,0.5036045314109165,21362,573.1545499457627,0.5120703666523256,20919,379.065962145768,0.5195046439628483,9690,1167.742571258795,51971,0.5099767177849185,True
long_mr_strong4,0.008,0.008,84,14,90.74531998649479,0.5038297872340426,16450,328.00557731443274,0.5102441418230892,16302,325.25429486315204,0.5206053236049183,7401,744.0051921640795,40153,0.5095260628097527,True
long_mr_full6,0.008,0.008,84,14,255.56355966456198,0.5069281902443591,21362,517.0209724063942,0.512118170084612,20919,426.8696930762235,0.5201238390092879,9690,1199.4542251471796,51971,0.5114775547901713,True
long_mr_strong4,0.008,0.008,120,20,95.15133997571499,0.5021884498480244,16450,316.40821947534005,0.508894614157772,16302,245.86051106978962,0.5131111718109806,7322,657.4200705208447,40074,0.506912212407047,True
long_mr_full6,0.008,0.008,120,20,277.55751810618233,0.5058983241269545,21362,512.631593339137,0.511018691142024,20919,342.1184323785834,0.514348325159136,9583,1132.3075438239027,51864,0.5095249113064939,True
long_mr_strong4,0.008,0.01,36,6,67.9145734442105,0.5374468085106383,16450,340.09406311738314,0.5474788369525212,16302,187.4711779743541,0.5449263613025267,7401,595.4798145359478,40153,0.542898413568102,True
long_mr_full6,0.008,0.01,36,6,250.41574798239694,0.5409137721187155,21362,483.5195122954001,0.5488312060805965,20919,256.6643938238582,0.5453044375644995,9690,990.5996541016552,51971,0.5449192819072175,True
long_mr_strong4,0.008,0.01,60,10,122.10933081803609,0.5479635258358663,16450,356.9039951302124,0.5551466077781867,16302,260.0094623133899,0.5623564383191461,7401,739.0227882616384,40153,0.5535327372799044,True
