tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
135,-0.04526555624752425,0.08301420242876233,-0.2079733930078984,0.1174422805128499,59,0.10449643653427969,0.10606681567070327,-0.1033945221802987,0.31238739524885806,EUR_GBP,14,200,4,short,194
72,0.1558476453326611,0.11386851396946154,-0.06733464204748352,0.3790299327128057,31,0.009983057691227383,0.15042411258160165,-0.2848482029687119,0.3048143183511666,EUR_GBP,14,250,1,short,103
70,0.22539056132616367,0.11176676788726338,0.006327696267127453,0.4444534263851999,30,0.02755483208878031,0.15234412069566525,-0.27103964447472356,0.32614930865228414,EUR_GBP,14,250,2,short,100
65,0.12580271917889255,0.1196483467376403,-0.10870804042688242,0.3603134787846675,28,0.13361812341240295,0.15795072009656996,-0.1759652879768742,0.4432015348016801,EUR_GBP,14,250,3,short,93
51,0.1884295789563312,0.13179984219291943,-0.06989811174179086,0.4467572696544533,23,0.023341138929071657,0.1740848105815196,-0.31786508981070677,0.36454736766885004,EUR_GBP,14,250,4,short,74
729,0.10807365787007824,0.035141965614537404,0.03919540526558492,0.17695191047457154,313,0.11099895424583096,0.04573537824877002,0.021357612878241727,0.2006402956134202,EUR_GBP,20,100,1,long,1042
585,0.07321929991113929,0.03951580988140262,-0.004231687456409852,0.15067028727868842,252,0.09140802926774888,0.05108321257934549,-0.008715067387768283,0.19153112592326604,EUR_GBP,20,100,2,long,837
428,0.09046706761768582,0.045849797401990564,0.0006014647097843107,0.18033267052558732,184,0.12812392088131394,0.061106677744770244,0.008354832501564269,0.2478930092610636,EUR_GBP,20,100,3,long,612
299,0.10344633135431798,0.05515055147193278,-0.004648749530670265,0.21154141223930623,129,0.11925829242377486,0.07423490754630056,-0.026242126366974233,0.264758711214524,EUR_GBP,20,100,4,long,428
354,0.056663530073433895,0.0504087802622439,-0.04213767924056414,0.15546473938743194,152,0.1330422383752238,0.06556785383285642,0.004529244862825216,0.2615552318876224,EUR_GBP,20,150,1,long,506
318,0.0035381097962824313,0.053452479303663085,-0.10122874963889722,0.10830496923146207,137,0.07479169942358145,0.06935756766795653,-0.06114913320561334,0.21073253205277626,EUR_GBP,20,150,2,long,455
