cell,direction,level,pair_or_POOLED,regime_bucket,regime,half,n,mean_R,NW_SE,NW_CI_low
cci,short,pair,EUR_NOK,ATR_high_67_100,high,h1,188,0.027665575684198664,0.04674956022668647,-0.06396356236010681
cci,short,pair,EUR_NOK,ATR_low_0_33,low,h1,214,-0.12047187531383118,0.10349506709153986,-0.3233222068132493
cci,short,pair,EUR_NOK,ATR_mid_33_67,mid,h1,174,-0.08325628581849981,0.05049697196265836,-0.1822303508653102
cci,short,pair,EUR_NOK,ATR_high_67_100,high,h2,198,0.08158745704369581,0.08437756412639387,-0.08379256864403616
cci,short,pair,EUR_NOK,ATR_low_0_33,low,h2,189,-0.13978952382896417,0.07237479420386624,-0.281644120468542
cci,short,pair,EUR_NOK,ATR_mid_33_67,mid,h2,171,-0.11781848667252529,0.09403896754677735,-0.3021348630642089
cci,short,pair,EUR_USD,ATR_high_67_100,high,full,380,0.11646711294817187,0.044731783957729296,0.02879281639102245
cci,short,pair,EUR_USD,ATR_low_0_33,low,full,368,0.06764648755758446,0.08947175559120009,-0.10771815340116772
cci,short,pair,EUR_USD,ATR_mid_33_67,mid,full,337,0.03745916532044371,0.06706210085394644,-0.09398255235329131
cci,short,pair,EUR_USD,ATR_high_67_100,high,h1,200,0.13144995741167487,0.05860105296723532,0.016591893595893636
cci,short,pair,EUR_USD,ATR_low_0_33,low,h1,204,-0.019047897087915145,0.1557882340153658,-0.32439283575803207
cci,short,pair,EUR_USD,ATR_mid_33_67,mid,h1,175,0.0005139268666460494,0.13868098218937627,-0.27130079822453146
cci,short,pair,EUR_USD,ATR_high_67_100,high,h2,180,0.09981950798872409,0.08008047045948079,-0.05713821411185825
cci,short,pair,EUR_USD,ATR_low_0_33,low,h2,164,0.17548584406784004,0.08366672707360953,0.011499059003565376
cci,short,pair,EUR_USD,ATR_mid_33_67,mid,h2,162,0.07736914513164489,0.048829033371383904,-0.018335760276267557
cci,short,pair,GBP_CAD,ATR_high_67_100,high,full,405,-0.03137837402934044,0.06655121988954733,-0.1618187650128532
