row_type,sample,formulation,sleeve,direction,metric,regime_bucket,regime,L,n,mean_R,NW_SE,NW_CI_low,cluster_SE,cluster_CI_low,cluster_CI_high,baseline_n,sleeve_n,excess_mean_R,excess_NW_SE,excess_NW_CI_low,excess_cluster_SE,excess_cluster_CI_low,note
excess,sleeve_minus_all_bars_long,atr_over_price,long_mr_full6,long,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,51971,-0.03765302306035137,0.018471901872220264,-0.07385795072990309,,,,270381.0,51971.0,-0.015907527724501224,0.02287181148024334,-0.060736278225778165,0.009503594910910882,-0.034534573749886555,positive excess means sleeve is above unconditional all-bars long baseline
excess,sleeve_minus_all_bars_long,atr_over_price,long_mr_full6,long,low_mid_mean,low_mid_mean,low_mid_mean,22,33339,0.020070110129037123,0.011129487274737183,-0.0017436849294477537,,,,180254.0,33339.0,0.012860557108194597,0.014061617110668011,-0.014700212428714703,0.005689428568292648,0.0017092771143410075,positive excess means sleeve is above unconditional all-bars long baseline
curve,deduped_sleeve,atr_over_price,long_mr_full6,short,bucket_mean,ATR_low_0_33,low,22,18375,0.0251277316349184,0.015345317852304214,-0.004949091355597859,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_full6,short,bucket_mean,ATR_mid_33_67,mid,22,18208,-0.023757023881963785,0.015238380215201554,-0.053624249103758834,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_full6,short,bucket_mean,ATR_high_67_100,high,22,17814,0.004013002090636904,0.014871346077248762,-0.025134836220770666,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_full6,short,low_mid_mean,low_mid_mean,low_mid_mean,22,36583,0.0007969323988964514,0.01062777755996531,-0.020033511618635556,,,,,,,,,,,
curve,deduped_sleeve,atr_over_price,long_mr_full6,short,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,54397,-0.0032160696917404525,0.01827858282289424,-0.03904209202461316,0.01038689287010888,-0.023574379717153857,0.017142240333672953,,,,,,,,
curve,dislocation_full6_book_descriptive,atr_percentile,dislocation_full6_book,long,bucket_mean,ATR_low_0_33,low,22,18474,0.054289885549222754,0.017031372960947633,0.020908394545765395,,,,,,,,,,,
curve,dislocation_full6_book_descriptive,atr_percentile,dislocation_full6_book,long,bucket_mean,ATR_mid_33_67,mid,22,15251,0.04923059533871573,0.015214532200545468,0.019410112225646613,,,,,,,,,,,
curve,dislocation_full6_book_descriptive,atr_percentile,dislocation_full6_book,long,bucket_mean,ATR_high_67_100,high,22,18246,-0.0005016078028301933,0.014905309090620865,-0.02971601362044709,,,,,,,,,,,
