tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
25,-0.25543517025353746,0.18835104991987373,-0.6246032280964899,0.11373288758941502,11,-0.09090909090909091,0.3149183286488867,-0.7081490150609089,0.526330833242727,USD_CHF,55,3,long,36
27,0.04668083951105726,0.1942484900724175,-0.33404620103088106,0.4274078800529956,12,-0.06668746087957352,0.2884983803428719,-0.6321442863516025,0.4987693645924554,USD_CHF,55,3,short,39
191,-0.08085137375462077,0.07003542022654091,-0.21812079739864093,0.0564180498893994,83,0.045524738459153426,0.10728913666665177,-0.16476196940748405,0.2558114463257909,USD_CHF,100,1,long,274
192,-0.06765569720108368,0.07042519067905534,-0.20568907093203215,0.07037767652986478,83,0.14871367390638537,0.10729768886181347,-0.06158979626276903,0.35901714407553975,USD_CHF,100,1,short,275
55,-0.08349059427528951,0.12858136332482598,-0.33551006639194847,0.1685288778413694,24,-0.11434828351129482,0.20180479481803446,-0.5098856813546423,0.2811891143320527,USD_CHF,100,2,long,79
69,-0.009051002193149485,0.11971204507819694,-0.2436866105464155,0.2255846061601165,30,-0.07958547387558443,0.1800217846349332,-0.43242817176005355,0.27325722400888464,USD_CHF,100,2,short,99
20,-0.1591648044619273,0.21627411124258183,-0.5830620624973877,0.26473245357353314,9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,USD_CHF,100,3,long,29
19,0.05263157894736842,0.23537557657892524,-0.40870455114732507,0.5139677090420619,9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,USD_CHF,100,3,short,28
637,0.03924646781789639,0.03962202937625478,-0.03841270975956298,0.11690564539535575,274,-0.10218978102189781,0.06020591189056088,-0.22019336832739714,0.015813806283601517,NZD_USD,10,1,long,911
669,0.020515574699985887,0.03865627453985882,-0.0552507233981374,0.09628187279810917,288,-0.0008613577496372482,0.05898355704461472,-0.1164691295570821,0.1147464140578076,NZD_USD,10,1,short,957
224,-0.08928571428571429,0.0666974986664488,-0.22001281167195397,0.04144138310052538,97,-0.09278350515463918,0.10162180812798108,-0.2919622490854821,0.10639523877620374,NZD_USD,10,2,long,321
232,-0.0065924075236030244,0.06569160558659767,-0.13534795447333445,0.1221631394261284,100,0.04,0.10042334631373565,-0.15682975877492186,0.23682975877492188,NZD_USD,10,2,short,332
72,-0.16666666666666666,0.11701824958323494,-0.3960224358498071,0.0626891025164738,31,0.03225806451612903,0.1824791693384639,-0.32540110738726025,0.38991723641951825,NZD_USD,10,3,long,103
79,-0.06329113924050633,0.11300069387656482,-0.2847724992385734,0.1581902207575607,35,0.08571428571428572,0.17086742893632048,-0.24918587500090242,0.4206144464294739,NZD_USD,10,3,short,114
452,0.035398230088495575,0.04705865013774043,-0.05683672418147567,0.12763318435846682,195,-0.1794871794871795,0.07062987424653339,-0.31792173301038495,-0.04105262596397405,NZD_USD,20,1,long,647
479,0.032828641908748554,0.045670105286656916,-0.056684764453099,0.12234204827059611,206,0.03763072314613822,0.0697197947961205,-0.09902007465425797,0.1742815209465344,NZD_USD,20,1,short,685
151,-0.1390728476821192,0.08085619922791268,-0.297550998168828,0.019405302804589658,66,-0.24242424242424243,0.12033482050480472,-0.4782804906136597,-0.006567994234825181,NZD_USD,20,2,long,217
