tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
16,-0.1515507897493756,0.24969446524484526,-0.6409519416292723,0.3378503621305211,7,0.34735750618473293,0.356624178103915,-0.3516258828989405,1.0463408952684063,USD_CHF,55,2,long,23
18,0.3333333333333339,0.2286647801900119,-0.11484963583908941,0.7815163025057572,9,0.43266472395768346,0.2964243119803575,-0.1483269275238172,1.013656375439184,USD_CHF,55,2,short,27
5,-0.6,0.4,-1.384,0.18400000000000005,3,-0.33333333333333703,0.666666666666663,-1.6399999999999963,0.9733333333333223,USD_CHF,55,3,long,8
2,0.0,1.0,-1.96,1.96,2,0.0,1.0,-1.96,1.96,USD_CHF,55,3,short,4
26,-0.0367198050187479,0.1959866313785586,-0.42085360252072274,0.34741399248322696,12,0.0,0.30151134457776363,-0.5909622353724167,0.5909622353724167,USD_CHF,100,1,long,38
27,0.0008795670082835023,0.19245209969018037,-0.37632654838447,0.378085682401037,12,0.0,0.30151134457776363,-0.5909622353724167,0.5909622353724167,USD_CHF,100,1,short,39
11,-0.1295284214536373,0.30370869374376425,-0.7247974611914152,0.4657406182841406,5,0.6,0.4,-0.18400000000000005,1.384,USD_CHF,100,2,long,16
13,0.07692307692307777,0.2878197989826111,-0.48720372908284004,0.6410498829289956,6,0.4823304192698585,0.3471495310321965,-0.19808266155324655,1.1627435000929636,USD_CHF,100,2,short,19
7,-0.7142857142857143,0.2857142857142857,-1.2742857142857142,-0.15428571428571436,4,-2.7755575615628914e-15,0.5773502691896242,-1.131606527611666,1.1316065276116607,USD_CHF,100,3,long,11
3,1.0,0.0,1.0,1.0,2,-1.0,0.0,-1.0,-1.0,USD_CHF,100,3,short,5
95,0.2,0.1010582305279823,0.0019258681651547205,0.3980741318348453,42,-0.2857142857142857,0.14966363480776673,-0.5790550099375085,0.007626438508937072,NZD_USD,10,1,long,137
86,-0.06976744186046512,0.10820092986749762,-0.28184126440076046,0.1423063806798302,38,-0.10526315789473684,0.16348565253108374,-0.42569503685566096,0.21516872106618729,NZD_USD,10,1,short,124
57,-0.05263157894736842,0.13344540864134474,-0.3141845798844041,0.2089214219896673,25,-0.2,0.2,-0.5920000000000001,0.192,NZD_USD,10,2,long,82
53,0.1320754716981132,0.13746020891206473,-0.13734653776953368,0.4014974811657601,24,0.25,0.2018932132718121,-0.14571069801275166,0.6457106980127516,NZD_USD,10,2,short,77
18,0.0,0.24253562503633302,-0.4753698250712127,0.4753698250712127,9,0.5555555555555556,0.2939723678960656,-0.020630285520732983,1.1317413966318441,NZD_USD,10,3,long,27
14,-0.42857142857142855,0.25058800551629407,-0.9197239193833648,0.0625810622405078,7,0.7142857142857143,0.2857142857142857,0.15428571428571436,1.2742857142857142,NZD_USD,10,3,short,21
