tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
15,-0.1421900120261708,0.24899448542532307,-0.630219203459804,0.34583917940746245,7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,USD_CHF,55,3,long,22
14,0.02298325770786918,0.27187390690673613,-0.5098895998293337,0.555856115245072,6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,USD_CHF,55,3,short,20
135,-0.18319834802574841,0.08122411353595325,-0.34239761055621676,-0.023999085495280043,59,0.03219041159270237,0.1271149193962556,-0.2169548304239586,0.28133565360936336,USD_CHF,100,1,long,194
140,-0.016592307832321608,0.08229820016743494,-0.1778967801604941,0.1447121644958509,61,0.028387995812034165,0.12806125116483386,-0.2226120564710402,0.27938804809510853,USD_CHF,100,1,short,201
39,-0.015421170264629516,0.15725251397785847,-0.32363609766123214,0.2927937571319731,17,0.03488816979773818,0.24503206688839826,-0.4453746813035224,0.5151510208989988,USD_CHF,100,2,long,56
42,-0.013448823426177835,0.15464499535017906,-0.31655301431252875,0.2896553674601731,19,-0.005783329641740758,0.22948861812541696,-0.455581021167558,0.44401436188407645,USD_CHF,100,2,short,61
11,-0.17862346114902108,0.2904494386073289,-0.7479043608193857,0.3906574385213436,6,-0.3333333333333333,0.421637021355784,-1.15974189519067,0.4930752285240034,USD_CHF,100,3,long,17
9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,USD_CHF,100,3,short,14
445,-0.02749751557883082,0.04738956517146449,-0.12038106331490121,0.06538603215723958,192,-0.11458333333333333,0.07188088823036694,-0.2554698742648525,0.02630320759818587,NZD_USD,10,1,long,637
485,0.03505154639175258,0.04542661389755361,-0.053984616847452496,0.12408770963095765,209,0.013880967975469337,0.06929965241776724,-0.12194635076335444,0.14970828671429312,NZD_USD,10,1,short,694
152,-0.07894736842105263,0.08112484504498066,-0.2379520647092147,0.08005732786710945,66,-0.06060606060606061,0.12380672936959905,-0.30326725017047473,0.18205512895835352,NZD_USD,10,2,long,218
154,0.025974025974025976,0.0808179326333504,-0.13242912198734078,0.18437717393539274,67,-0.04477611940298507,0.12296803595091038,-0.2857934698667694,0.19624123106079927,NZD_USD,10,2,short,221
44,-0.09090909090909091,0.1518671035608285,-0.38856861388831476,0.20675043207013297,20,-0.1,0.22826577307580465,-0.5474009152285771,0.3474009152285771,NZD_USD,10,3,long,64
58,-0.06896551724137931,0.13213787041210448,-0.32795574324910404,0.19002470876634545,26,0.07692307692307693,0.19940740610485724,-0.3139154390424433,0.46776159288859714,NZD_USD,10,3,short,84
314,-0.01910828025477707,0.056513021870863475,-0.1298738031216695,0.09165724261211534,135,-0.15555555555555556,0.08533526808199168,-0.32281268099625926,0.011701569885148144,NZD_USD,20,1,long,449
351,0.05982905982905983,0.053356496019027415,-0.0447496723682339,0.16440779202635356,151,0.058947829846841666,0.08145674770677261,-0.10070739565843265,0.21860305535211597,NZD_USD,20,1,short,502
102,-0.11764705882352941,0.09881271261211326,-0.3113199755432714,0.07602585789621258,45,-0.15555555555555556,0.1489205454059161,-0.4474398245511511,0.13632871344004,NZD_USD,20,2,long,147
114,0.05263157894736842,0.0939417027329573,-0.13149415840922787,0.2367573163039647,49,-0.061224489795918366,0.144066793092159,-0.34359540425655,0.22114642466471324,NZD_USD,20,2,short,163
28,-0.14285714285714285,0.1904761904761905,-0.5161904761904762,0.2304761904761905,12,-0.16666666666666666,0.2972941950052816,-0.7493632888770185,0.41602995554368527,NZD_USD,20,3,long,40
45,-0.022222222222222223,0.1507184440694504,-0.317630372598345,0.2731859281539006,20,-0.2,0.22478059477960655,-0.6405699657680288,0.2405699657680288,NZD_USD,20,3,short,65
186,-0.07526881720430108,0.07331290233987119,-0.2189621057904486,0.06842447138184644,80,-0.175,0.11077260320247587,-0.3921143022768527,0.0421143022768527,NZD_USD,55,1,long,266
210,0.06666666666666667,0.06901756088701,-0.06860775267187293,0.20194108600520627,90,-0.022222222222222223,0.10597361198146896,-0.22993050170590137,0.18548605726145692,NZD_USD,55,1,short,300
65,-0.046153846153846156,0.12486679292883021,-0.2908927602943534,0.19858506798666106,28,-0.35714285714285715,0.17975796274454164,-0.7094684641221587,-0.004817250163555553,NZD_USD,55,2,long,93
