tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,confirm,direction,total_n
61,35,21,5,0.625,0.4982004534708424,0.7517995465291576,27,6,14,7,0.3,0.09915976498719187,0.500840235012808,USD_CAD,H4,100,2,long,88
23,9,13,1,0.4090909090909091,0.20363672932088425,0.614545088860934,11,3,5,3,0.375,0.03951993352808575,0.7104800664719142,USD_CAD,H4,100,3,long,34
189,69,97,23,0.41566265060240964,0.34068974337999164,0.49063555782482765,81,34,39,8,0.4657534246575342,0.3513224641801196,0.5801843851349489,USD_CAD,H4,100,1,short,270
57,23,28,6,0.45098039215686275,0.31441402999179735,0.5875467543219282,25,7,14,4,0.3333333333333333,0.13171028938286652,0.5349563772838001,USD_CAD,H4,100,2,short,82
23,11,7,5,0.6111111111111112,0.38589851531349934,0.836323706908723,10,4,6,0,0.4,0.09635810565733854,0.7036418943426614,USD_CAD,H4,100,3,short,33
639,258,324,57,0.44329896907216493,0.4029387093345907,0.48365922880973916,275,130,134,11,0.49242424242424243,0.43211633543167105,0.5527321494168138,USD_CHF,H4,10,1,long,914
209,87,100,22,0.46524064171123,0.39374932631992754,0.5367319571025324,90,38,44,8,0.4634146341463415,0.3554818377179356,0.5713474305747474,USD_CHF,H4,10,2,long,299
58,22,28,8,0.44,0.3024085584056915,0.5775914415943085,25,6,16,3,0.2727272727272727,0.0866224332691812,0.45883211218536424,USD_CHF,H4,10,3,long,83
617,283,283,51,0.5,0.45880752753249854,0.5411924724675015,265,136,120,9,0.53125,0.4701197459600864,0.5923802540399136,USD_CHF,H4,10,1,short,882
207,105,81,21,0.5645161290322581,0.4932597394076479,0.6357725186568683,89,43,43,3,0.5,0.39432388226063037,0.6056761177393697,USD_CHF,H4,10,2,short,296
70,36,27,7,0.5714285714285714,0.44922655289641567,0.6936305899607271,30,14,15,1,0.4827586206896552,0.3008854149362746,0.6646318264430358,USD_CHF,H4,10,3,short,100
442,185,215,42,0.4625,0.41363800684581115,0.5113619931541888,190,88,93,9,0.4861878453038674,0.41337281754627353,0.5590028730614612,USD_CHF,H4,20,1,long,632
142,58,67,17,0.464,0.37657362931471994,0.5514263706852801,62,25,32,5,0.43859649122807015,0.3097748638105179,0.5674181186456224,USD_CHF,H4,20,2,long,204
39,15,17,7,0.46875,0.29584753133088293,0.6416524686691171,17,7,9,1,0.4375,0.19442159829594075,0.6805784017040593,USD_CHF,H4,20,3,long,56
436,198,203,35,0.4937655860349127,0.444830525881278,0.5427006461885474,188,98,86,4,0.532608695652174,0.46051594429515674,0.6047014470091912,USD_CHF,H4,20,1,short,624
150,73,65,12,0.5289855072463768,0.44570266271076475,0.6122683517819889,65,32,31,2,0.5079365079365079,0.384483668493547,0.6313893473794688,USD_CHF,H4,20,2,short,215
49,25,18,6,0.5813953488372093,0.4339403008287866,0.7288503968456321,22,10,11,1,0.47619047619047616,0.26257954568917985,0.6898014066917725,USD_CHF,H4,20,3,short,71
259,107,131,21,0.4495798319327731,0.38637967270674106,0.5127799911588052,112,52,54,6,0.49056603773584906,0.3953969677758412,0.5857351076958569,USD_CHF,H4,55,1,long,371
81,31,42,8,0.4246575342465753,0.3112668768205067,0.538048191672644,35,12,20,3,0.375,0.20725996676404287,0.5427400332359571,USD_CHF,H4,55,2,long,116
25,6,15,4,0.2857142857142857,0.09249592909842652,0.4789326423301449,11,5,6,0,0.45454545454545453,0.1602878664116818,0.7488030426792273,USD_CHF,H4,55,3,long,36
