tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,tr_edge,tr_edge_ci_low,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,te_edge,te_edge_ci_low,pair,tf,period,confirm,stop_pct,tp_pct,rr_label,be_wr,direction,total_n
58,30,28,0,0.5172413793103449,0.3886376022059932,0.6458451564146965,0.017241379310344862,-0.1113623977940068,26,12,13,1,0.48,0.2841568627702262,0.6758431372297737,-0.020000000000000018,-0.21584313722977377,GBP_USD,H4,10,3,0.01,0.01,1/1,0.5,short,84
58,14,35,9,0.2857142857142857,0.15922317930755053,0.41220539212102086,-0.04761904761904767,-0.17411015402578284,26,9,15,2,0.375,0.18131049331468677,0.5686895066853133,0.04166666666666663,-0.1520228400186466,GBP_USD,H4,10,3,0.01,0.02,1/2,0.33333333333333337,short,84
448,217,221,10,0.4954337899543379,0.4486095313821274,0.5422580485265484,-0.0045662100456621,-0.05139046861787261,193,89,91,13,0.49444444444444446,0.4214040662622832,0.5674848226266057,-0.005555555555555536,-0.07859593373771678,GBP_USD,H4,20,1,0.01,0.01,1/1,0.5,long,641
448,111,281,56,0.28316326530612246,0.23856257093063643,0.3277639596816085,-0.05017006802721091,-0.09477076240269694,193,33,102,58,0.24444444444444444,0.17194870658823694,0.3169401823006519,-0.08888888888888893,-0.16138462674509643,GBP_USD,H4,20,1,0.01,0.02,1/2,0.33333333333333337,long,641
154,75,74,5,0.5033557046979866,0.42307278464063397,0.5836386247553393,0.003355704697986628,-0.07692721535936603,66,34,24,8,0.5862068965517241,0.4594536299826929,0.7129601631207553,0.08620689655172409,-0.0405463700173071,GBP_USD,H4,20,2,0.01,0.01,1/1,0.5,long,220
154,40,94,20,0.29850746268656714,0.22102689460489236,0.37598803076824194,-0.03482587064676623,-0.11230643872844101,66,11,28,27,0.28205128205128205,0.14081882357771097,0.4232837405248531,-0.05128205128205132,-0.1925145097556224,GBP_USD,H4,20,2,0.01,0.02,1/2,0.33333333333333337,long,220
43,21,22,0,0.4883720930232558,0.33896391292128136,0.6377802731252302,-0.011627906976744207,-0.16103608707871864,19,11,7,1,0.6111111111111112,0.38589851531349934,0.836323706908723,0.11111111111111116,-0.11410148468650066,GBP_USD,H4,20,3,0.01,0.01,1/1,0.5,long,62
43,14,24,5,0.3684210526315789,0.2150475572965205,0.5217945479666374,0.03508771929824556,-0.11828577603681287,19,2,9,8,0.18181818181818182,0.0,0.40974912948563447,-0.15151515151515155,-0.33333333333333337,GBP_USD,H4,20,3,0.01,0.02,1/2,0.33333333333333337,long,62
414,219,184,11,0.543424317617866,0.4947914956050929,0.5920571396306391,0.043424317617866026,-0.00520850439490711,178,75,91,12,0.45180722891566266,0.3760986198772047,0.5275158379541206,-0.04819277108433734,-0.12390138012279528,GBP_USD,H4,20,1,0.01,0.01,1/1,0.5,short,592
414,108,233,73,0.31671554252199413,0.2673397202523886,0.36609136479159965,-0.01661779081133924,-0.06599361308094476,178,28,98,52,0.2222222222222222,0.1496296296296296,0.2948148148148148,-0.11111111111111116,-0.18370370370370376,GBP_USD,H4,20,1,0.01,0.02,1/2,0.33333333333333337,short,592
