tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,k_period,d_period,threshold,recovery,direction,total_n
438,0.062334827888421866,0.04600812708869102,-0.027841101205412534,0.15251075698225627,189,-0.0004862613794105534,0.07056878451889562,-0.13880107903644595,0.13782855627762486,EUR_USD,9,3,20,1,long,627
240,-0.06321262189009351,0.06212362518336546,-0.18497492724948983,0.058549683469302796,104,-0.0872729495434351,0.09529889927577118,-0.2740587921239466,0.0995128930370764,EUR_USD,9,3,20,2,long,344
140,0.05249974442560534,0.08051388045757302,-0.10530746127123777,0.21030695012244846,61,-0.18203510669993314,0.12426182588791146,-0.42558828544023963,0.06151807204037332,EUR_USD,9,3,20,3,long,201
73,0.08436016368079363,0.11114882063899656,-0.1334915247716396,0.3022118521332269,32,0.25789551402887656,0.1677458389756283,-0.0708863303633549,0.586677358421108,EUR_USD,9,3,20,4,long,105
485,0.05533147260292122,0.043809249580401805,-0.030534656574666322,0.14119760178050877,209,-0.01592216290103609,0.0671379755742063,-0.14751259502648043,0.11566826922440823,EUR_USD,9,3,25,1,long,694
273,-0.03992459389822992,0.05845890619958393,-0.15450405004941442,0.07465486225295459,118,-0.10675120249082645,0.08926242690937439,-0.2817055592332003,0.06820315425154735,EUR_USD,9,3,25,2,long,391
158,0.07183521657965028,0.0761166704950162,-0.07735345759058149,0.22102389074988205,68,-0.20741384571611654,0.11722764596560854,-0.4371800318087093,0.02235234037647621,EUR_USD,9,3,25,3,long,226
77,0.05400379154153162,0.10876480742895359,-0.1591752310192174,0.2671828141022806,33,0.34098958936133483,0.16050595174743207,0.026397923936367973,0.6555812547863017,EUR_USD,9,3,25,4,long,110
531,0.028176834034444057,0.04195236336692921,-0.05404979816473719,0.1104034662336253,228,0.014393395392489478,0.06435149268318519,-0.11173553026655349,0.14052232105153245,EUR_USD,9,3,30,1,long,759
305,-0.008884270633662305,0.05483941466206353,-0.11636952337130682,0.09860098210398222,132,-0.08518851977831728,0.08451522073920965,-0.2508383524271682,0.08046131287053364,EUR_USD,9,3,30,2,long,437
169,0.04160324864677019,0.07373051859909827,-0.10290856780746242,0.18611506510100279,73,-0.15211152751638254,0.11444919768781074,-0.37643195498449156,0.0722088999517265,EUR_USD,9,3,30,3,long,242
80,0.03947864935872418,0.10697788316015745,-0.17019800163518445,0.24915530035263278,35,0.37864732711211574,0.15345816854575622,0.07786931676243353,0.679425337461798,EUR_USD,9,3,30,4,long,115
362,0.05485754495229396,0.05059365868465536,-0.04430602606963055,0.15402111597421847,156,-0.016625531520453894,0.07706859640057064,-0.16767998046557234,0.13442891742466453,EUR_USD,9,3,15,1,short,518
196,0.10571350593381001,0.06789709486594668,-0.02736480000344549,0.23879181187106552,84,-0.05990676853160776,0.10870123620066033,-0.272961191484902,0.15314765442168649,EUR_USD,9,3,15,2,short,280
116,-0.0666551748648859,0.09041059045795176,-0.24385993216247134,0.11054958243269955,51,0.0939460957431608,0.1349828525310393,-0.17062029521767624,0.3585124867039979,EUR_USD,9,3,15,3,short,167
