tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
8,0.0,0.3779644730092272,-0.7408103670980853,0.7408103670980853,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,EUR_USD,20,1.5,close_breakout,long,12
9,0.19235031474488273,0.3278569091489163,-0.45024922718699323,0.8349498566767587,4,-0.06906989543203138,0.5404233403856994,-1.1282996425880023,0.9901598517239395,EUR_USD,20,1.5,close_breakout,short,13
96,0.11902602303223853,0.0984955504701182,-0.07402525588919312,0.31207730195367017,42,-0.23809523809523808,0.15168248750118007,-0.535392913597551,0.05920243740707487,EUR_USD,20,1.5,range_expansion,long,138
81,-0.08031028999860845,0.1079436465778411,-0.291879837291177,0.1312592572939601,35,-0.26503655947794647,0.1641510321632937,-0.5867725825180021,0.05669946356210914,EUR_USD,20,1.5,range_expansion,short,116
250,-0.061708901528684176,0.06233795434989038,-0.1838912920544693,0.06047348899710096,108,-0.009726184903830527,0.09455308041089487,-0.19505022250918447,0.1755978527015234,GBP_USD,14,0.5,close_breakout,long,358
218,0.0739432398836249,0.06746466067406619,-0.05828749503754481,0.2061739748047946,94,-0.12396498478693278,0.1016585726067818,-0.3232157870962251,0.07528581752235954,GBP_USD,14,0.5,close_breakout,short,312
741,-0.011211855788426803,0.036342362527509504,-0.08244288634234544,0.06001917476549183,318,-0.0209643932968624,0.05475964378703564,-0.12829329511945226,0.08636450852572747,GBP_USD,14,0.5,range_expansion,long,1059
717,-0.004667772387413529,0.03692787652824437,-0.07704641038277249,0.06771086560794543,308,0.008229298351625617,0.055870987355264204,-0.10127783686469223,0.11773643356794346,GBP_USD,14,0.5,range_expansion,short,1025
36,-0.2581857619485217,0.1610656100299934,-0.5738743576073088,0.05750283371026532,16,-0.017433171868131675,0.2487500909210155,-0.5049833500733221,0.47011700633705866,GBP_USD,14,1.0,close_breakout,long,52
42,-0.09523809523809523,0.15546387747761883,-0.39994729509422816,0.2094711046180377,18,0.4444444444444444,0.2172649691319564,0.018605104945809914,0.8702837839430789,GBP_USD,14,1.0,close_breakout,short,60
339,-0.0053543039639646645,0.053762757792516894,-0.11072930923729778,0.10002070130936845,146,0.08503253930770817,0.08026259732326758,-0.0722821514458963,0.24234723006131265,GBP_USD,14,1.0,range_expansion,long,485
320,0.0021626347514554444,0.055526612566046976,-0.10666952587799662,0.11099479538090752,138,-0.05140279547647675,0.08304579594552704,-0.21417255552970973,0.11136696457675624,GBP_USD,14,1.0,range_expansion,short,458
7,0.17210455654223908,0.3494526501045233,-0.5128226376626266,0.8570317507471048,3,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,GBP_USD,14,1.5,close_breakout,long,10
9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,GBP_USD,14,1.5,close_breakout,short,14
86,-0.07125200949265213,0.10699100896869733,-0.2809543870712989,0.13845036808599465,38,0.14076784273337814,0.15393886325644116,-0.16095232924924655,0.44248801471600285,GBP_USD,14,1.5,range_expansion,long,124
91,-0.18116967018552627,0.10271362526924908,-0.38248837571325445,0.020149035342201943,39,0.0014023213361724286,0.15179228945160303,-0.2961105659889695,0.2989152086613143,GBP_USD,14,1.5,range_expansion,short,130
240,-0.061838730700529775,0.06358162297564054,-0.18645871173278525,0.06278125033172569,104,0.016373366430510454,0.09673313326672872,-0.17322357477227782,0.20597030763329874,GBP_USD,20,0.5,close_breakout,long,344
221,0.08651414612954854,0.06693780350468168,-0.04468394873962754,0.2177122409987246,96,-0.05888238093720499,0.10122905852965902,-0.2572913356553367,0.1395265737809267,GBP_USD,20,0.5,close_breakout,short,317
741,-0.011211855788426803,0.036342362527509504,-0.08244288634234544,0.06001917476549183,318,-0.0209643932968624,0.05475964378703564,-0.12829329511945226,0.08636450852572747,GBP_USD,20,0.5,range_expansion,long,1059
