tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
735,-0.04657184683123802,0.0354238586308417,-0.11600260974768775,0.022858916085211706,315,-0.1396296173083427,0.05060591013698146,-0.23881720117682637,-0.04044203343985904,USD_CAD,20,1.5,range_expansion,short,1050
1542,-0.09715529225947049,0.024468097122268148,-0.14511276261911607,-0.04919782189982492,661,-0.02422935203731657,0.038177028816764165,-0.09905632851817434,0.05059762444354119,USD_CHF,14,0.5,close_breakout,long,2203
1572,0.05042339465398432,0.02439565099781937,0.0026079186982583547,0.09823887060971029,675,0.03445295196724796,0.037859772579130944,-0.03975220228784869,0.1086581062223446,USD_CHF,14,0.5,close_breakout,short,2247
2758,-0.055383800583361155,0.018334445475748036,-0.0913193137158273,-0.019448287450895003,1183,-0.06826259559926873,0.0284446564484335,-0.12401412223819838,-0.012511068960339065,USD_CHF,14,0.5,range_expansion,long,3941
2724,0.03827254902312852,0.01857664410081021,0.0018623265855405094,0.07468277146071653,1168,0.067607171591871,0.028758235336545004,0.011241030332242795,0.1239733128514992,USD_CHF,14,0.5,range_expansion,short,3892
599,-0.10972700259240258,0.03947170209574306,-0.18709153870005896,-0.03236246648474618,257,-0.042326527480605905,0.06112371689683814,-0.16212901259840867,0.07747595763719685,USD_CHF,14,1.0,close_breakout,long,856
630,0.12517185776619577,0.03837105922847288,0.049964581678388936,0.2003791338540026,271,0.13587432490308898,0.05966628544582279,0.018928405429276318,0.25282024437690165,USD_CHF,14,1.0,close_breakout,short,901
1687,-0.07633570737627528,0.023442687361005004,-0.12228337460384509,-0.03038804014870547,723,-0.05372947781724257,0.03625164578170794,-0.12478270354939014,0.017323747914904992,USD_CHF,14,1.0,range_expansion,long,2410
1689,0.05345698665354821,0.02360692036278648,0.007187422742486703,0.09972655056460972,724,0.040613194328898726,0.03657021813910707,-0.031064433223751124,0.11229082188154857,USD_CHF,14,1.0,range_expansion,short,2413
215,-0.057299677681053346,0.06660688997639772,-0.18784918203479287,0.07324982667268617,93,0.046384196491780195,0.10177351488691115,-0.15309189268656567,0.24586028567012605,USD_CHF,14,1.5,close_breakout,long,308
244,0.17351730924799305,0.06165662990068482,0.0526703146426508,0.2943643038533353,105,0.2547238276803707,0.09353399934563854,0.07139718896291919,0.43805046639782225,USD_CHF,14,1.5,close_breakout,short,349
730,-0.10060385469271939,0.03584397716752221,-0.1708580499410629,-0.030349659444375857,313,-0.055084617416046526,0.05530093035462371,-0.163474440911109,0.05330520607901595,USD_CHF,14,1.5,range_expansion,long,1043
807,0.10816197572284887,0.03394855427388792,0.04162280934602855,0.1747011420996692,346,0.10893710755540796,0.05277573578028645,0.005496665426046515,0.2123775496847694,USD_CHF,14,1.5,range_expansion,short,1153
1538,-0.09871994497779699,0.02451498309635511,-0.14676931184665298,-0.050670578108940975,660,-0.03361372749829603,0.0381651945896275,-0.10841750889396592,0.04119005389737387,USD_CHF,20,0.5,close_breakout,long,2198
1559,0.05293610767825107,0.024493236033804232,0.004929365051994775,0.10094285030450736,669,0.04741568445424556,0.0379930288515257,-0.027050652094744818,0.12188202100323593,USD_CHF,20,0.5,close_breakout,short,2228
2758,-0.055383800583361155,0.018334445475748036,-0.0913193137158273,-0.019448287450895003,1183,-0.06826259559926873,0.0284446564484335,-0.12401412223819838,-0.012511068960339065,USD_CHF,20,0.5,range_expansion,long,3941
2724,0.03827254902312852,0.01857664410081021,0.0018623265855405094,0.07468277146071653,1168,0.067607171591871,0.028758235336545004,0.011241030332242795,0.1239733128514992,USD_CHF,20,0.5,range_expansion,short,3892
597,-0.09700649095759553,0.039451663546657495,-0.17433175150904423,-0.019681230406146846,257,-0.050108628647921066,0.061100727053280394,-0.16986605367235064,0.0696487963765085,USD_CHF,20,1.0,close_breakout,long,854
