tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
435,-0.03739446811861912,0.04678022262384782,-0.12908370446136083,0.054294768224122596,187,0.0939496136714702,0.07113313500888048,-0.04547133094593553,0.23337055828887593,EUR_USD,20,1.0,close_breakout,short,622
1019,-0.016219273984704827,0.030195021683959714,-0.07540151648526587,0.04296296851585621,438,-0.0331837174020634,0.04635270211963327,-0.1240350135565446,0.057667578752417806,EUR_USD,20,1.0,range_expansion,long,1457
1036,-0.0331818748973419,0.030146494203054163,-0.09226900353532806,0.025905253740644257,444,0.019087589229859266,0.046185060664702675,-0.07143512967295798,0.1096103081326765,EUR_USD,20,1.0,range_expansion,short,1480
175,-0.02540372422223703,0.07271178152408758,-0.1679188160094487,0.11711136756497464,75,0.021650584321758076,0.11488260063811609,-0.20351931292894945,0.24682048157246558,EUR_USD,20,1.5,close_breakout,long,250
172,-0.20388794047065165,0.07280374824211912,-0.34658328702520513,-0.06119259391609819,75,-0.009508943548100265,0.11313979361078233,-0.23126293902523365,0.2122450519290331,EUR_USD,20,1.5,close_breakout,short,247
473,0.012035536360381035,0.04405888842353832,-0.07431988494975407,0.09839095767051613,204,-0.006161642729370174,0.06783126766041421,-0.13911092734378203,0.12678764188504169,EUR_USD,20,1.5,range_expansion,long,677
482,-0.0345909112982288,0.04420204154954533,-0.12122691273533764,0.05204509013888004,207,0.02937094511965042,0.06805742034342088,-0.1040215987534545,0.16276348899275533,EUR_USD,20,1.5,range_expansion,short,689
1106,-0.013870620566011654,0.029767475178575215,-0.07221487191601908,0.044473630783995764,475,-0.09128511742131593,0.044646517395674046,-0.17879229151683707,-0.0037779433257947997,GBP_USD,14,0.5,close_breakout,long,1581
1078,0.022178014888948043,0.03026302334392334,-0.03713751086514171,0.08149354064303779,462,0.02921313632518559,0.045406117990202916,-0.059782854935612126,0.1182091275859833,GBP_USD,14,0.5,close_breakout,short,1540
1759,-0.013306086283758846,0.023619319732787268,-0.059599952960021886,0.0329877803925042,754,-0.03204465661102165,0.035616830972360514,-0.10185364531684826,0.03776433209480496,GBP_USD,14,0.5,range_expansion,long,2513
1738,-0.007739291317682774,0.02379495081915711,-0.0543773949232307,0.03889881228786516,745,0.04819565467678836,0.0356586780628579,-0.021695354326413126,0.11808666367998985,GBP_USD,14,0.5,range_expansion,short,2483
439,-0.026081364193269122,0.047375172353706814,-0.11893670200653447,0.06677397361999624,189,0.01377857040900053,0.07014743839703565,-0.12371040884918934,0.1512675496671904,GBP_USD,14,1.0,close_breakout,long,628
439,-0.0005958566127827528,0.047349869614919736,-0.09340160105802543,0.09220988783245994,189,-0.003356407806377662,0.07164792616474175,-0.1437863430892715,0.13707352747651616,GBP_USD,14,1.0,close_breakout,short,628
1052,0.007645506924400385,0.030538502736075016,-0.05220995843830664,0.06750097228710741,452,-0.0708220586740424,0.04573572864552139,-0.16046408681926433,0.018819969471179518,GBP_USD,14,1.0,range_expansion,long,1504
1048,0.023715642935830197,0.03065014322719788,-0.03635863778947765,0.08378992366113804,450,-0.000572586370681923,0.046101050456031425,-0.09093064526450352,0.08978547252313966,GBP_USD,14,1.0,range_expansion,short,1498
161,-0.052796357715368857,0.07831621907821099,-0.2062961471086624,0.10070343167792467,70,-0.14023736466738634,0.11605881609396625,-0.3677126442115602,0.0872379148767875,GBP_USD,14,1.5,close_breakout,long,231
173,0.029759938291421057,0.07570981906956704,-0.11863130708493035,0.17815118366777247,75,0.07423733363763016,0.11435369471177842,-0.14989590799745553,0.2983705752727158,GBP_USD,14,1.5,close_breakout,short,248
492,-0.0290449967103304,0.044651612557865046,-0.11656215732374589,0.0584721639030851,211,0.011240591047621686,0.06674574650684008,-0.11958107210578486,0.14206225420102822,GBP_USD,14,1.5,range_expansion,long,703
502,0.016791470085710525,0.04434124686306493,-0.07011737376589675,0.1037003139373178,216,-0.03840312908358154,0.06660614276607392,-0.1689511689050864,0.09214491073792333,GBP_USD,14,1.5,range_expansion,short,718
1102,-0.017989674230365918,0.029828493572569413,-0.07645352163260197,0.04047417317187013,473,-0.0663011221461418,0.04482944960280524,-0.15416684336764006,0.02156459907535646,GBP_USD,20,0.5,close_breakout,long,1575
1073,0.030669058760751162,0.030325675255038726,-0.028769264739124736,0.09010738226062706,460,0.04673145430920813,0.045468002753781205,-0.042385831088203034,0.1358487397066193,GBP_USD,20,0.5,close_breakout,short,1533
1759,-0.013306086283758846,0.023619319732787268,-0.059599952960021886,0.0329877803925042,754,-0.03204465661102165,0.035616830972360514,-0.10185364531684826,0.03776433209480496,GBP_USD,20,0.5,range_expansion,long,2513
1738,-0.007739291317682774,0.02379495081915711,-0.0543773949232307,0.03889881228786516,745,0.04819565467678836,0.0356586780628579,-0.021695354326413126,0.11808666367998985,GBP_USD,20,0.5,range_expansion,short,2483
435,-0.02632119282952907,0.04758906455124129,-0.119595759349962,0.06695337369090384,187,-0.004579985738168271,0.07065999875431121,-0.14307358329661823,0.13391361182028172,GBP_USD,20,1.0,close_breakout,long,622
432,0.018015310216214633,0.047773996419232356,-0.07562172276548078,0.11165234319791005,186,0.0006260769323004071,0.07211800579476293,-0.14072521442543495,0.14197736829003577,GBP_USD,20,1.0,close_breakout,short,618
