entry_ts,exit_ts,strategy,pair,direction,entry_mode,r
2016-02-15 02:00:00,2016-02-24 14:00:00,macd,EUR_CHF,short,limit,1.0
2016-02-15 06:00:00,2016-02-17 06:00:00,stoch,EUR_GBP,long,mid,1.0
2016-02-15 10:00:00,2016-02-16 06:00:00,bb,CAD_CHF,short,mid,-1.0
2016-02-15 14:00:00,2016-02-17 14:00:00,stoch,CAD_CHF,short,mid,-1.0
2016-02-15 14:00:00,2016-02-16 14:00:00,stoch,EUR_GBP,long,mid,1.0
2016-02-15 22:00:00,2016-02-16 02:00:00,macd,NZD_USD,short,limit,1.0
2016-02-15 22:00:00,2016-02-16 02:00:00,atr,NZD_CHF,short,limit,1.0
2016-02-16 02:00:00,2016-02-16 14:00:00,bb,CAD_CHF,short,mid,1.0
2016-02-16 02:00:00,2016-02-16 14:00:00,stoch,CAD_CHF,short,mid,1.0
2016-02-16 06:00:00,2016-02-17 06:00:00,atr,USD_JPY,long,limit,-1.0
2016-02-16 06:00:00,2016-02-25 10:00:00,cci,USD_CAD,long,mid,-1.0
2016-02-16 06:00:00,2016-02-17 14:00:00,cci,CAD_CHF,short,mid,-1.0
2016-02-16 10:00:00,2016-02-17 22:00:00,atr,EUR_NOK,long,limit,-1.0
2016-02-16 10:00:00,2016-02-18 10:00:00,stoch,CHF_JPY,long,mid,-1.0
2016-02-16 10:00:00,2016-02-18 10:00:00,stoch,EUR_GBP,long,mid,-1.0
2016-02-16 18:00:00,2016-02-18 14:00:00,stoch,CHF_JPY,long,mid,-1.0
2016-02-16 18:00:00,2016-02-18 22:00:00,stoch,USD_JPY,long,mid,-1.0
2016-02-16 22:00:00,2016-02-24 06:00:00,macd,EUR_CHF,short,limit,1.0
2016-02-17 06:00:00,2016-02-18 22:00:00,stoch,USD_JPY,long,mid,-1.0
2016-02-17 10:00:00,2016-02-17 14:00:00,bb,CAD_CHF,short,mid,-1.0
2016-02-17 14:00:00,2016-02-22 06:00:00,atr,NZD_CHF,short,limit,-1.0
2016-02-17 14:00:00,2016-02-22 10:00:00,ema,EUR_CAD,long,mid,-1.0
2016-02-17 14:00:00,2016-02-22 10:00:00,sma,EUR_CAD,long,mid,-1.0
2016-02-17 14:00:00,2016-02-22 10:00:00,bb,EUR_CAD,long,mid,-1.0
2016-02-17 18:00:00,2016-02-19 10:00:00,cci,CAD_CHF,short,mid,1.0
2016-02-17 22:00:00,2016-02-19 10:00:00,cci,USD_CAD,long,mid,1.0
2016-02-17 22:00:00,2016-02-18 22:00:00,cci,CHF_JPY,long,mid,-1.0
2016-02-17 22:00:00,2016-02-19 10:00:00,stoch,CAD_CHF,short,mid,1.0
2016-02-18 02:00:00,2016-02-18 22:00:00,rsi,CHF_JPY,long,mid,-1.0
2016-02-18 02:00:00,2016-02-18 22:00:00,stoch,CHF_JPY,long,mid,-1.0
2016-02-18 02:00:00,2016-02-18 10:00:00,ema,EUR_GBP,short,mid,1.0
2016-02-18 02:00:00,2016-02-18 22:00:00,ema,GBP_CAD,long,mid,1.0
2016-02-18 10:00:00,2016-02-24 10:00:00,atr,EUR_NOK,long,limit,1.0
2016-02-18 10:00:00,2016-02-18 22:00:00,bb,EUR_CAD,long,mid,1.0
2016-02-18 14:00:00,2016-02-22 14:00:00,stoch,CHF_JPY,long,mid,-1.0
2016-02-18 14:00:00,2016-02-19 14:00:00,atr,USD_JPY,long,limit,-1.0
2016-02-18 14:00:00,2016-02-22 06:00:00,stoch,EUR_GBP,long,mid,1.0
2016-02-18 14:00:00,2016-02-19 14:00:00,stoch,CAD_CHF,short,mid,1.0
2016-02-18 14:00:00,2016-02-19 14:00:00,cci,CAD_CHF,short,mid,1.0
2016-02-18 18:00:00,2016-02-19 10:00:00,atr,NZD_CHF,short,limit,1.0
2016-02-18 18:00:00,2016-02-22 18:00:00,ema,CHF_JPY,long,mid,-1.0
2016-02-18 22:00:00,2016-02-22 22:00:00,bb,CHF_JPY,long,mid,-1.0
2016-02-19 02:00:00,2016-02-22 18:00:00,rsi,CHF_JPY,long,mid,-1.0
2016-02-19 02:00:00,2016-02-22 18:00:00,stoch,CHF_JPY,long,mid,-1.0
2016-02-19 02:00:00,2016-02-22 10:00:00,sma,EUR_CAD,long,mid,-1.0
2016-02-19 02:00:00,2016-02-22 18:00:00,cci,CHF_JPY,long,mid,-1.0
2016-02-19 02:00:00,2016-02-23 06:00:00,stoch,USD_JPY,long,mid,-1.0
2016-02-19 02:00:00,2016-02-23 06:00:00,rsi,USD_JPY,long,mid,-1.0
2016-02-19 06:00:00,2016-02-22 10:00:00,ema,EUR_CAD,long,mid,-1.0
2016-02-19 06:00:00,2016-02-22 22:00:00,ema,CHF_JPY,long,mid,-1.0
2016-02-19 06:00:00,2016-02-22 10:00:00,macd,NZD_USD,short,limit,-1.0
2016-02-19 06:00:00,2016-02-22 22:00:00,bb,CHF_JPY,long,mid,-1.0
2016-02-19 10:00:00,2016-02-22 22:00:00,cci,CHF_JPY,long,mid,-1.0
2016-02-19 10:00:00,2016-02-22 22:00:00,stoch,CHF_JPY,long,mid,-1.0
2016-02-19 10:00:00,2016-02-22 22:00:00,rsi,CHF_JPY,long,mid,-1.0
2016-02-19 14:00:00,2016-02-22 10:00:00,sma,CAD_JPY,long,mid,1.0
2016-02-19 18:00:00,2016-02-24 14:00:00,rsi,USD_JPY,long,mid,-1.0
2016-02-19 18:00:00,2016-02-22 22:00:00,rsi,CHF_JPY,long,mid,-1.0
2016-02-19 18:00:00,2016-02-24 14:00:00,stoch,USD_JPY,long,mid,-1.0
2016-02-21 22:00:00,2016-02-23 22:00:00,stoch,EUR_GBP,long,mid,1.0
2016-02-21 22:00:00,2016-02-22 10:00:00,sma,EUR_CAD,long,mid,-1.0
2016-02-21 22:00:00,2016-02-24 14:00:00,atr,USD_JPY,long,limit,-1.0
2016-02-22 02:00:00,2016-02-22 10:00:00,ema,EUR_CAD,long,mid,-1.0
2016-02-22 06:00:00,2016-02-22 10:00:00,macd,AUD_JPY,long,limit,1.0
2016-02-22 10:00:00,2016-02-25 22:00:00,ema,CHF_JPY,long,mid,1.0
2016-02-22 10:00:00,2016-02-23 10:00:00,bb,CAD_CHF,short,mid,1.0
2016-02-22 14:00:00,2016-02-23 10:00:00,stoch,CAD_CHF,short,mid,1.0
2016-02-22 14:00:00,2016-02-25 22:00:00,stoch,CHF_JPY,long,mid,1.0
2016-02-22 18:00:00,2016-02-25 18:00:00,bb,CHF_JPY,long,mid,1.0
2016-02-22 18:00:00,2016-02-23 14:00:00,cci,CAD_CHF,short,mid,1.0
2016-02-22 22:00:00,2016-02-25 02:00:00,stoch,CHF_JPY,long,mid,1.0
