tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
40,0.15,0.15831646333879038,-0.16030026814402912,0.46030026814402913,18,-0.4444444444444444,0.21726496913195636,-0.8702837839430788,-0.01860510494580997,NZD_USD,55,1,long,58,377,296
27,-0.1111111111111111,0.19490178206822872,-0.4931186039648394,0.2708963817426172,12,-0.16666666666666666,0.2972941950052816,-0.7493632888770185,0.41602995554368527,NZD_USD,55,1,short,39,399,309
16,-0.25,0.25,-0.74,0.24,8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,NZD_USD,55,2,long,24,129,101
19,0.2631578947368421,0.22739441047045122,-0.18253514978524232,0.7088509392589265,9,0.3333333333333333,0.3333333333333333,-0.32,0.9866666666666666,NZD_USD,55,2,short,28,150,127
6,-0.3333333333333333,0.421637021355784,-1.15974189519067,0.4930752285240034,3,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,NZD_USD,55,3,long,9,45,38
7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,NZD_USD,55,3,short,11,51,47
28,0.35714285714285715,0.17975796274454164,0.004817250163555553,0.7094684641221587,13,-0.5384615384615384,0.24325212770525995,-1.015235708763848,-0.06168736815922893,NZD_USD,100,1,long,41,277,224
21,-0.23809523809523808,0.21717627144745486,-0.6637607301322496,0.1875702539417734,10,-0.2,0.32659863237109044,-0.8401333194473373,0.4401333194473372,NZD_USD,100,1,short,31,295,240
15,-0.2,0.26186146828319085,-0.7132484778350541,0.313248477835054,7,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,NZD_USD,100,2,long,22,98,81
18,0.3333333333333333,0.2286647801900118,-0.1148496358390898,0.7815163025057564,8,0.25,0.3659625273556999,-0.46728655361717175,0.9672865536171718,NZD_USD,100,2,short,26,114,104
5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,NZD_USD,100,3,long,8,33,29
7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,NZD_USD,100,3,short,11,40,38
65,0.015384615384615385,0.12498520622516864,-0.22958638881671514,0.2603556195859459,28,0.0,0.19245008972987526,-0.3772021758705555,0.3772021758705555,USD_SEK,10,1,long,93,892,614
56,0.035714285714286094,0.134753950172893,-0.22840345662458417,0.29983202805315634,24,0.3333333333333333,0.19658927487319622,-0.05198164541813127,0.718648312084798,USD_SEK,10,1,short,80,821,562
38,0.11694682533007521,0.16175919810888106,-0.20010120296333167,0.4339948536234821,17,-0.1006660996733267,0.24186060131781353,-0.5747128782562412,0.3733806789095878,USD_SEK,10,2,long,55,290,204
29,0.10344827586206934,0.18796831555013718,-0.26496962261619955,0.47186617434033823,13,0.38461538461538464,0.2664693550105965,-0.1376645512053845,0.9068953204361538,USD_SEK,10,2,short,42,272,196
