tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
88,-0.13455954198994294,0.1009676844582503,-0.33245620352811356,0.06333711954822765,39,-0.10131354167595646,0.14572526221120294,-0.3869350556099142,0.18430797225800127,USD_CAD,55,1,long,127,389,177
74,-0.23515424519140254,0.105310277723573,-0.4415623895296056,-0.02874610085319948,32,-0.18481141229117637,0.17105722781323593,-0.5200835788051188,0.15046075422276606,USD_CAD,55,1,short,106,391,157
31,-0.03225806451612903,0.1824791693384639,-0.38991723641951825,0.32540110738726025,14,-0.3976868661748822,0.23347944827917683,-0.8553065848020688,0.0599328524523044,USD_CAD,55,2,long,45,123,65
25,0.005125967760095094,0.19200103254251977,-0.3711960560232436,0.38144799154343384,12,-0.22824829770770835,0.2680185571543171,-0.7535646697301699,0.2970680743147531,USD_CAD,55,2,short,37,129,60
13,0.07692307692307693,0.2878197989826109,-0.48720372908284043,0.6410498829289943,6,-0.4994683942671682,0.3417210418131845,-1.1692416362210099,0.17030484768667348,USD_CAD,55,3,long,19,43,27
9,-0.02847844122314163,0.33454765389344915,-0.6841918428543019,0.6272349604080187,5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,USD_CAD,55,3,short,14,50,24
73,-0.16295844048634384,0.11125990970815026,-0.3810278635143184,0.05511098254163069,32,-0.15472587891757195,0.15588509818313256,-0.4602606713565118,0.15080891352136788,USD_CAD,100,1,long,105,303,149
63,-0.26033990705021887,0.11169644362196361,-0.47926493654926755,-0.04141487755117018,28,-0.2134517693923799,0.18083541090766456,-0.5678891747714024,0.14098563598664263,USD_CAD,100,1,short,91,277,140
28,-0.07142857142857142,0.19195851781663212,-0.4476672663491704,0.3048101234920275,13,-0.351355086649873,0.2471713753732968,-0.8358109823815347,0.13310080908178873,USD_CAD,100,2,long,41,88,56
18,-0.1595472669998679,0.21888829962239786,-0.5885683342597677,0.26947380026003187,9,-0.18625502475816738,0.30993882437444165,-0.793735120532073,0.42122507101573825,USD_CAD,100,2,short,27,85,46
11,-0.09090909090909091,0.3149183286488867,-0.7081490150609089,0.526330833242727,5,-0.3993620731206018,0.4001599584248568,-1.183675591633321,0.38495144539211756,USD_CAD,100,3,long,16,34,23
