tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
123,-0.07458548180231744,0.0868652160689724,-0.24484130529750336,0.09567034169286848,53,-0.2975995479385704,0.12494473989475204,-0.5424912381322844,-0.05270785774485642,EUR_USD,100,1,long,176,263,177
132,-0.10647805011476603,0.08401537362864238,-0.2711481824269051,0.05819208219737303,57,-0.0771777971560762,0.1292790964548745,-0.3305648262076302,0.17620923189547782,EUR_USD,100,1,short,189,266,189
44,-0.03411491917652798,0.14388056308743463,-0.31612082282789983,0.24789098447484387,20,-0.25517543928069425,0.20005002758859877,-0.6472734933543478,0.13692261479295936,EUR_USD,100,2,long,64,86,64
44,-0.17125417826213954,0.14477509573808678,-0.4550133659087896,0.11250500938451055,20,-0.03428346524636426,0.21773829849370965,-0.4610505302940352,0.39248359980130665,EUR_USD,100,2,short,64,86,64
16,0.19162695863225876,0.24509203949077152,-0.2887534387696534,0.6720073560341709,8,-0.34659216162669526,0.3208736706076114,-0.9755045560176137,0.28232023276422313,EUR_USD,100,3,long,24,27,24
11,-0.04450330848577097,0.2972196319307583,-0.6270537870700572,0.5380471700985152,5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,EUR_USD,100,3,short,16,20,16
281,0.021808691445865506,0.05900615753113007,-0.09384337731514943,0.13746076020688044,121,-0.07440394192201953,0.08904521492733385,-0.2489325631795939,0.10012467933555481,GBP_USD,10,1,long,402,909,402
291,0.008280616401522469,0.05794800908621728,-0.1052974814074634,0.12185871421050834,125,0.19363407608627714,0.08585763029305567,0.025353120711888028,0.3619150314606663,GBP_USD,10,1,short,416,880,418
101,0.000237299471382549,0.09770408154729546,-0.19126270036131654,0.19173729930408162,44,0.025155153131840694,0.14401120855518562,-0.25710681563632315,0.30741712190000453,GBP_USD,10,2,long,145,319,145
105,-0.08846111529253865,0.09685616952932784,-0.2782992075700212,0.1013769769849439,45,-0.036136016549823916,0.14920838957945035,-0.3285844601255466,0.2563124270258988,GBP_USD,10,2,short,150,274,150
