tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
81,0.22410397323605655,0.10320699993144072,0.021818253370432722,0.4263896931016804,36,0.1651930338465706,0.1603406449299313,-0.14907463021609477,0.47946069790923596,USD_CAD,10,2.0,long,117,368,119
96,0.039454397589140405,0.09924263371359089,-0.15506116448949775,0.23396995966777856,42,0.0829973909455011,0.13506179320897901,-0.18172372374409776,0.3477185056351,USD_CAD,10,2.0,short,138,367,138
51,0.2486006289713009,0.13292840216897228,-0.011939039279884794,0.5091402972224865,23,0.26531160063781006,0.1828404649456214,-0.09305571065560786,0.623678911931228,USD_CAD,10,2.5,long,74,270,75
58,0.04545768416572237,0.12909349593850428,-0.20756556787374603,0.2984809362051908,26,-0.21984712703640316,0.16724236969305648,-0.5476421716347939,0.10794791756198754,USD_CAD,10,2.5,short,84,270,84
44,0.39586620861164173,0.13847473305269306,0.12445573182836334,0.6672766853949201,19,0.06834072504836268,0.20993994122923806,-0.3431415597609439,0.4798230098576693,USD_CAD,10,3.0,long,63,220,64
45,0.09956743399413945,0.14538683015407686,-0.18539075310785116,0.3845256210961301,20,-0.1940874799107442,0.19619946961702558,-0.5786384403601144,0.19046348053862594,USD_CAD,10,3.0,short,65,220,65
149,0.0780510613264815,0.0796817869544424,-0.0781252411042256,0.2342273637571886,64,0.11025597066748212,0.11735436296436945,-0.11975858074268199,0.34027052207764624,USD_CAD,14,1.5,long,213,546,216
160,-0.026119452309781445,0.0770259738366648,-0.17709036102964446,0.12485145641008158,69,-0.0027616816651839264,0.10598292364997873,-0.21048821201914222,0.20496484868877438,USD_CAD,14,1.5,short,229,545,230
82,0.23356611990390952,0.10237880573301539,0.03290366066719935,0.4342285791406197,36,0.22074858940212616,0.15841880148946305,-0.08975226151722143,0.5312494403214738,USD_CAD,14,2.0,long,118,365,120
94,-0.002299254555683614,0.10031726923474163,-0.1989211022557772,0.19432259314440997,41,0.06857483097445963,0.1419863729234756,-0.20971845995555252,0.3468681219044718,USD_CAD,14,2.0,short,135,364,135
