strategy,pair,direction,tp_R,n,mean_R,se_R,ci_lo_R,ci_hi_R,win_rate
candle,USD_JPY,long,0.7,418,0.1200628029894353,0.03890221567723243,0.043814460262059735,0.19631114571681085,0.6555023923444976
cci,CAD_CHF,short,0.7,1118,0.12109563272354988,0.02385846197210008,0.07433304725823373,0.16785821818886604,0.6583184257602862
cci,CHF_JPY,long,0.7,816,0.1179523983840781,0.027815484260696525,0.06343404923311291,0.1724707475350433,0.6568627450980392
cci,EUR_USD,short,0.7,916,0.07957545053986452,0.02675198856665684,0.027141552949217114,0.13200934813051193,0.6342794759825328
cci,USD_CAD,long,0.7,447,0.10617649230435233,0.03744722157272493,0.032779938021811464,0.17957304658689321,0.6375838926174496
cci,USD_JPY,long,0.7,597,0.11411912011320283,0.03297917371791092,0.049479939626097424,0.17875830060030823,0.6549413735343383
ema,CHF_JPY,long,0.7,256,0.13078136283466754,0.049383004485106706,0.0339906740438584,0.22757205162547667,0.66015625
ema,EUR_CAD,long,0.7,395,0.12724940443552263,0.039384957752044675,0.050054887241515064,0.20444392162953018,0.6531645569620254
ema,EUR_GBP,short,0.7,348,0.13698155389071442,0.0407302211442386,0.057150320448006775,0.21681278733342207,0.6551724137931034
ema,GBP_CAD,long,0.7,283,0.17569483415309883,0.045928342879571406,0.08567528210913888,0.2657143861970588,0.696113074204947
ichimoku,USD_SGD,short,0.7,171,0.16912480017653683,0.05432693758039698,0.06264400251895876,0.2756055978341149,0.6666666666666666
macd,AUD_JPY,long,0.7,203,0.18411216714808762,0.054838250249373645,0.07662919665931528,0.29159513763685996,0.6945812807881774
macd,CAD_CHF,short,0.7,308,0.2070040590997231,0.043723095741353184,0.12130679144667086,0.2927013267527754,0.711038961038961
macd,EUR_CHF,short,0.7,255,0.10612675367714318,0.0463860356513353,0.015210123800525999,0.19704338355376036,0.6588235294117647
macd,NZD_JPY,long,0.7,134,0.1925373134328358,0.0674547015314229,0.06032609843124692,0.3247485284344247,0.7014925373134329
macd,NZD_USD,short,0.7,222,0.16396396396396393,0.05313376909077703,0.059821776546040956,0.26810615138188687,0.6846846846846847
rsi,CHF_JPY,long,0.7,565,0.10847424230728635,0.033581153609147006,0.04265518123335822,0.17429330338121446,0.6495575221238938
rsi,EUR_GBP,long,0.7,394,0.16411063391881767,0.037189060844363526,0.09122007466386516,0.23700119317377016,0.6700507614213198
rsi,USD_JPY,long,0.7,1191,0.08574958209843264,0.02349856594207809,0.039692392851959586,0.1318067713449057,0.6381192275398825
sma,CAD_JPY,long,0.7,257,0.1377431906614786,0.04998843054538157,0.039765866792530746,0.23572051453042647,0.669260700389105
sma,EUR_CAD,long,0.7,401,0.14715306361031777,0.038141901520120626,0.07239493663088134,0.2219111905897542,0.6683291770573566
sma,EUR_GBP,long,0.7,269,0.14786535372266885,0.04493744095658712,0.059787969447758105,0.2359427379975796,0.6282527881040892
stoch,CAD_CHF,short,0.7,1685,0.10801306751122612,0.01952559356085332,0.06974290413195361,0.14628323089049863,0.6504451038575668
stoch,CHF_JPY,long,0.7,1765,0.07038404243773809,0.019197986558241113,0.03275598878358551,0.10801209609189066,0.6271954674220963
