status,pnl_pct,days_held,symbol,score_date,bh_entry,close_on_score,entry_dist_pct,score
time_profit,0.3984566627065478,2,BRIF,2026-02-13,30.751767533363285,,,2.0
success,1.4999999999999902,1,BRID,2026-02-13,7.484099956072215,,,2.0
no_fill,0.0,0,BRNY,2026-02-13,49.70723387587661,,,2.0
no_fill,0.0,0,BRT,2026-02-13,14.345093435219626,,,2.0
success,1.617543068045535,0,BRZU,2026-02-13,109.87276077442307,,,5.0
time_loss,-0.018784281313388718,2,BSJV,2026-02-13,26.69550798763092,,,2.0
time_profit,0.05763821644302336,2,BSJU,2026-02-13,26.128585445492586,,,2.0
time_profit,0.03920323348269861,2,BSJX,2026-02-13,25.57105868219572,,,2.0
time_profit,0.1935750229797195,2,BSJW,2026-02-13,25.78269734344722,,,2.0
no_fill,0.0,0,BSET,2026-02-13,15.661832069227614,,,2.0
time_profit,0.09000414019044722,2,BSMU,2026-02-13,22.275819872526696,,,2.0
time_loss,-0.08410213769625141,2,BSMV,2026-02-13,21.408605094535453,,,2.0
no_fill,0.0,0,BSR,2026-02-13,30.68962983482468,,,2.0
time_profit,0.7049773725095632,2,BSTP,2026-02-13,36.979900072114944,,,2.0
success,1.4999999999999902,1,BST,2026-02-13,39.315147175431854,,,2.0
no_fill,0.0,0,BSRR,2026-02-13,36.610732651260804,,,5.0
no_fill,0.0,0,BSVN,2026-02-13,43.44015309446161,,,2.0
time_profit,0.36888866746056515,2,BTA,2026-02-13,9.694239050745265,,,2.0
time_profit,0.6361074582002857,2,BTR,2026-02-13,26.663277268104483,,,2.0
no_fill,0.0,0,BTSGU,2026-02-13,124.85263733905128,,,5.0
time_profit,1.1573931435019613,2,BTT,2026-02-13,22.720435240354334,,,2.0
time_loss,-1.91437163659387,2,BTO,2026-02-13,38.100017179861524,,,5.0
success,1.4999999999999902,1,BUL,2026-02-13,56.14428639548264,,,2.0
time_profit,0.17694545188802202,2,BUI,2026-02-13,28.95117221749288,,,5.0
success,2.3039955553933344,1,BULD,2026-02-13,29.52973619064809,,,5.0
no_fill,0.0,0,BUSEP,2026-02-13,25.654461043449775,,,2.0
no_fill,0.0,0,BUYO,2026-02-13,28.996253642163214,,,2.0
time_profit,0.49329678957430456,2,BVAL,2026-02-13,29.156173532003912,,,2.0
