status,pnl_pct,days_held,symbol,score_date,bh_entry
time_loss,-0.073072707343802,6,WBD,2026-04-02,27.199405464740774
time_loss,-0.15995734470806156,6,SLMBP,2026-04-02,73.70271372515496
time_loss,-2.5787497959849914,6,BHF,2026-04-02,59.51970432693755
time_loss,-0.5566801619433348,6,GOODO,2026-04-02,19.595345928461352
time_loss,-3.1914893617021267,6,STEW,2026-04-02,17.16570147759998
stopped_out,-3.8461538461538436,3,RY,2026-04-02,162.36678360557204
time_loss,-1.715265866209248,6,SOJE,2026-04-02,17.15150508468496
time_loss,-0.13831258644537714,6,FOLD,2026-04-02,14.425126322943317
time_profit,1.4357780364765205,6,FRMEP,2026-04-02,26.062608118577113
success,3.0927835051546504,0,VALU,2026-04-06,34.73266365010569
time_loss,-2.530933633295851,6,STEW,2026-04-06,17.22618708634284
stopped_out,-3.8461538461538547,5,INVH,2026-04-06,25.276666864771396
stopped_out,-4.267589388696658,2,BSVN,2026-04-06,40.48071192715768
time_loss,-1.7965416573096915,6,HMN,2026-04-06,43.25576037309813
stopped_out,-4.092594960992457,1,ALC,2026-04-06,74.03253602751668
time_loss,-1.8621036738802221,6,SFB,2026-04-06,19.351447514297238
stopped_out,-3.8461538461538547,2,MGEE,2026-04-06,77.50078940449349
time_profit,1.185185185185178,6,UZD,2026-04-06,20.221611206753188
stopped_out,-3.8461538461538436,1,TFC,2026-04-06,47.227379158216976
success,5.730337078651693,6,HOMB,2026-04-07,27.236078360814
time_profit,1.5974162011173076,6,UL,2026-04-07,55.23575655556736
stopped_out,-3.8461538461538547,6,AIZN,2026-04-07,19.226956994190278
stopped_out,-3.8461538461538436,5,STWD,2026-04-07,17.151313140946
time_loss,-1.2490241998438734,6,FINS,2026-04-07,12.537434806884292
success,3.092783505154628,0,MSFT,2026-04-07,369.3406032052171
time_loss,-1.9990248659190635,6,ACGLO,2026-04-07,19.69867085275723
time_profit,0.6144697720515291,6,CBSH,2026-04-07,49.60254647152774
time_loss,-0.28328611898016387,6,NMIH,2026-04-07,37.90164025681495
time_loss,-2.7176527176527077,6,ORI,2026-04-07,40.195263686017675
success,3.0927835051546504,1,ROP,2026-04-08,352.6767493666196
stopped_out,-3.8461538461538547,3,TFX,2026-04-08,117.68835728837848
time_loss,-1.0874938210578278,6,UZD,2026-04-08,19.819424969088207
time_loss,-0.3510798593671538,6,GOODO,2026-04-08,19.590504123480173
stopped_out,-3.8461538461538436,3,TSLX,2026-04-08,17.670049997840238
success,3.0927835051546504,1,IBM,2026-04-08,239.11666051033086
stopped_out,-3.8461538461538547,3,GIB,2026-04-08,71.27009473959814
time_loss,-1.3588324106693528,6,SFB,2026-04-08,19.518451479164458
success,3.0927835051546504,2,AM,2026-04-08,22.20491092112718
time_loss,-2.4358332096716673,6,GLPG,2026-04-08,28.566788036208138
stopped_out,-3.8461538461538547,2,GSBD,2026-04-09,8.924435792263312
success,3.092783505154628,4,MAA,2026-04-09,124.8328083625911
time_loss,-2.2808056872037796,6,CPRT,2026-04-09,32.65367281780287
stopped_out,-3.8461538461538547,3,HOVNP,2026-04-09,19.500120627057736
stopped_out,-3.8461538461538547,5,ITGR,2026-04-09,85.37488601503767
success,3.785714285714281,1,MICC,2026-04-09,14.453563793211261
time_loss,-1.0643444605708874,6,EAI,2026-04-09,20.39206854803892
time_loss,-1.8688918100245866,6,DHIL,2026-04-09,171.16803201469142
success,3.0927835051546504,1,CRH,2026-04-09,114.17649732259247
time_loss,0.0,6,ING,2026-04-09,28.21377063589115
success,3.3666220529187774,2,ABT,2026-04-13,99.91036846507042
time_profit,0.758175851533327,6,AWI,2026-04-13,176.74529352636853
stopped_out,-3.8461538461538547,1,MOMO,2026-04-13,5.8568556768265
success,3.0927835051546504,3,KMI,2026-04-13,31.680629183423974
