tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,fast,slow,signal,trigger,direction,total_n
77,-0.16082181743976084,0.1125691113973701,-0.3814572757786062,0.05981364089908453,33,-0.3558442309655048,0.16250726184995423,-0.6743584641914151,-0.037329997739594556,GBP_USD,8,17,13,zero_cross,long,110
80,0.18450686949435074,0.10830712882590385,-0.027775103004420792,0.39678884199312225,35,0.2,0.16803361008336118,-0.1293458757633879,0.529345875763388,GBP_USD,8,17,13,zero_cross,short,115
135,-0.03229008503286196,0.08556347950949314,-0.1999945048714685,0.13541433480574458,59,0.0850006009120625,0.12880295496460148,-0.16745319081855636,0.3374543926426814,GBP_USD,12,26,5,signal_cross,long,194
128,-0.14029206522834636,0.08721817797130728,-0.3112396940521086,0.030655563595415908,56,0.14584148621691753,0.1300470601482944,-0.10905075167373948,0.4007337241075746,GBP_USD,12,26,5,signal_cross,short,184
68,-0.08823529411764706,0.121692941999187,-0.3267534604360536,0.15028287220075942,30,0.03262516261697933,0.18247506306755973,-0.32502596099543773,0.3902762862293964,GBP_USD,12,26,5,zero_cross,long,98
62,0.01582145510107921,0.12698434876646814,-0.23306786848119834,0.26471077868335674,28,0.027185830374539175,0.18910933662107068,-0.3434684694027593,0.3978401301518377,GBP_USD,12,26,5,zero_cross,short,90
125,0.05008104586447628,0.08853149461833416,-0.12344068358745866,0.22360277531641123,55,0.06291628880221259,0.1324599721861534,-0.19670525668264807,0.3225378342870733,GBP_USD,12,26,9,signal_cross,long,180
129,-0.09427584603781841,0.0875516188840647,-0.26587701905058525,0.0773253269749484,56,-0.1765492496454774,0.12808130233732912,-0.42758860222664247,0.07449010293568764,GBP_USD,12,26,9,signal_cross,short,185
68,-0.08823529411764706,0.121692941999187,-0.3267534604360536,0.15028287220075942,30,0.03262516261697933,0.18247506306755973,-0.32502596099543773,0.3902762862293964,GBP_USD,12,26,9,zero_cross,long,98
62,0.01582145510107921,0.12698434876646814,-0.23306786848119834,0.26471077868335674,28,0.027185830374539175,0.18910933662107068,-0.3434684694027593,0.3978401301518377,GBP_USD,12,26,9,zero_cross,short,90
105,-0.009523809523809525,0.0980536203903524,-0.20170890548890022,0.18266128644128118,46,0.25744463841369086,0.14004274629126787,-0.017039144317194166,0.5319284211445758,GBP_USD,12,26,13,signal_cross,long,151
113,-0.1203950217426525,0.09300366383166292,-0.3026822028527118,0.061892159367406815,49,-0.05901883658836545,0.14123032105510572,-0.33583026585637266,0.21779259267964177,GBP_USD,12,26,13,signal_cross,short,162
