symbol,issue
IMTXW,SPIKE: 9 days with >50% move
INHD,SPIKE: 3 days with >50% move
PHAT,SPIKE: 1 days with >50% move
OMER,SPIKE: 2 days with >50% move
INTS,SPIKE: 1 days with >50% move
INVZW,SPIKE: 13 days with >50% move
IOBT,SPIKE: 3 days with >50% move
INZY,SPIKE: 1 days with >50% move
IOMT,ZERO_PRICE: 3 days with 0.0 price
IOMT,SPIKE: 27 days with >50% move
IOMT,GAPS: Missing 756 business days (34.9% of range)
IOTR,SPIKE: 2 days with >50% move
IPDN,SPIKE: 2 days with >50% move
IPEXR,SPIKE: 1 days with >50% move
IPST,SPIKE: 2 days with >50% move
IPW,SPIKE: 1 days with >50% move
IQMDW,SPIKE: 10 days with >50% move
ISO,SPIKE: 1 days with >50% move
ISPC,SPIKE: 1 days with >50% move
ISPOW,SPIKE: 1 days with >50% move
ISRLW,SPIKE: 1 days with >50% move
ITI,SPIKE: 1 days with >50% move
IVA,SPIKE: 1 days with >50% move
IVDA,SPIKE: 31 days with >50% move
IVDAW,SPIKE: 46 days with >50% move
IVF,SPIKE: 47 days with >50% move
IVP,SPIKE: 1 days with >50% move
IVVD,SPIKE: 1 days with >50% move
JANX,SPIKE: 1 days with >50% move
JBDI,SPIKE: 1 days with >50% move
JCSE,SPIKE: 1 days with >50% move
JDZG,SPIKE: 1 days with >50% move
JEM,SPIKE: 2 days with >50% move
JFB,SPIKE: 1 days with >50% move
JFU,SPIKE: 1 days with >50% move
MLCI,SPIKE: 1 days with >50% move
JILL,SPIKE: 4 days with >50% move
JHX,SPIKE: 1 days with >50% move
JJSF,SPIKE: 1 days with >50% move
JKHY,SPIKE: 1 days with >50% move
JSPRW,SPIKE: 2 days with >50% move
JUGGW,SPIKE: 6 days with >50% move
JVSA,SPIKE: 1 days with >50% move
JVSAU,SPIKE: 1 days with >50% move
ZJZZT,SPIKE: 6 days with >50% move
JXG,SPIKE: 2 days with >50% move
JYD,SPIKE: 1 days with >50% move
JZXN,SPIKE: 3 days with >50% move
KALA,SPIKE: 1 days with >50% move
KDNY,SPIKE: 1 days with >50% move
KIDZ,SPIKE: 1 days with >50% move
KIDZW,SPIKE: 1 days with >50% move
KITTW,SPIKE: 2 days with >50% move
KITT,SPIKE: 2 days with >50% move
SNN,SPIKE: 1 days with >50% move
KOD,SPIKE: 1 days with >50% move
KRKR,SPIKE: 1 days with >50% move
KRO,SPIKE: 1 days with >50% move
KROS,SPIKE: 1 days with >50% move
KSCP,SPIKE: 4 days with >50% move
KTCC,SPIKE: 4 days with >50% move
KTTA,SPIKE: 4 days with >50% move
KTOS,SPIKE: 1 days with >50% move
KTTAW,SPIKE: 47 days with >50% move
KVACW,SPIKE: 11 days with >50% move
KVHI,SPIKE: 2 days with >50% move
KWESW,SPIKE: 4 days with >50% move
KWE,SPIKE: 4 days with >50% move
WBTN,SPIKE: 1 days with >50% move
KWMWW,SPIKE: 1 days with >50% move
KXIN,SPIKE: 2 days with >50% move
KZIA,SPIKE: 1 days with >50% move
KZR,SPIKE: 1 days with >50% move
PTNM,SPIKE: 3 days with >50% move
VTYX,SPIKE: 1 days with >50% move
LAC,SPIKE: 1 days with >50% move
LASE,SPIKE: 1 days with >50% move
LAWR,SPIKE: 1 days with >50% move
LAZR,SPIKE: 3 days with >50% move
LBBBR,SPIKE: 6 days with >50% move
LBBBU,SPIKE: 1 days with >50% move
LBBBW,SPIKE: 4 days with >50% move
LBPH,SPIKE: 1 days with >50% move
LBGJ,SPIKE: 1 days with >50% move
LCAAW,SPIKE: 1 days with >50% move
LCFYW,SPIKE: 1 days with >50% move
LCID,SPIKE: 1 days with >50% move
V,SPIKE: 1 days with >50% move
LESL,SPIKE: 1 days with >50% move
LEXXW,SPIKE: 5 days with >50% move
LFACW,SPIKE: 5 days with >50% move
MGA,SPIKE: 1 days with >50% move
LFS,SPIKE: 2 days with >50% move
LGCL,SPIKE: 2 days with >50% move
LGHL,SPIKE: 2 days with >50% move
MFC,SPIKE: 1 days with >50% move
LHSW,SPIKE: 1 days with >50% move
SOC,SPIKE: 1 days with >50% move
LIONU,SPIKE: 1 days with >50% move
LITTW,SPIKE: 3 days with >50% move
SEMR,SPIKE: 1 days with >50% move
MENS,SPIKE: 3 days with >50% move
LMACW,SPIKE: 12 days with >50% move
LNAI,SPIKE: 1 days with >50% move
LOBO,SPIKE: 3 days with >50% move
LOCL,SPIKE: 4 days with >50% move
PLRZ,SPIKE: 4 days with >50% move
LOGI,SPIKE: 1 days with >50% move
LOKVW,SPIKE: 1 days with >50% move
LOTWW,SPIKE: 2 days with >50% move
LPAAW,SPIKE: 1 days with >50% move
LPBBW,SPIKE: 1 days with >50% move
OKLO,SPIKE: 1 days with >50% move
LPCN,SPIKE: 4 days with >50% move
OPEN,SPIKE: 1 days with >50% move
LPSN,SPIKE: 1 days with >50% move
LSEA,SPIKE: 1 days with >50% move
LSEAW,SPIKE: 1 days with >50% move
LSPRU,SPIKE: 1 days with >50% move
LTRY,SPIKE: 1 days with >50% move
MDRR,SPIKE: 3 days with >50% move
LTRYW,SPIKE: 20 days with >50% move
LUCYW,SPIKE: 4 days with >50% move
LVACW,SPIKE: 11 days with >50% move
