strategy,pair,direction,entry_mode,entry_ts,exit_ts,r
stoch,CAD_CHF,short,mid,2017-08-18 17:00:00,2017-08-28 21:00:00,0.5
stoch,CAD_CHF,short,mid,2017-08-21 09:00:00,2017-08-21 13:00:00,0.4999999999999928
stoch,CAD_CHF,short,mid,2017-08-22 09:00:00,2017-08-23 09:00:00,0.4999999999999928
stoch,CAD_CHF,short,mid,2017-08-24 21:00:00,2017-08-25 13:00:00,0.5000000000000072
stoch,CAD_CHF,short,mid,2017-08-25 13:00:00,2017-08-28 21:00:00,0.5000000000000072
stoch,CAD_CHF,short,mid,2017-08-30 05:00:00,2017-08-31 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-08-30 13:00:00,2017-08-31 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-08-30 21:00:00,2017-08-31 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-08-31 13:00:00,2017-09-01 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-09-01 05:00:00,2017-09-01 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-09-01 17:00:00,2017-09-03 21:00:00,0.5
stoch,CAD_CHF,short,mid,2017-09-07 21:00:00,2017-09-08 13:00:00,0.5
stoch,CAD_CHF,short,mid,2017-09-11 13:00:00,2017-09-14 05:00:00,-1.0
stoch,CAD_CHF,short,mid,2017-09-11 21:00:00,2017-09-18 09:00:00,0.5
stoch,CAD_CHF,short,mid,2017-09-12 05:00:00,2017-09-18 09:00:00,0.5
stoch,CAD_CHF,short,mid,2017-09-12 13:00:00,2017-09-18 13:00:00,0.49999999999999295
stoch,CAD_CHF,short,mid,2017-09-13 21:00:00,2017-09-15 13:00:00,0.5
stoch,CAD_CHF,short,mid,2017-09-14 09:00:00,2017-09-15 13:00:00,0.5
