tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,k,atr_period,direction,total_n
163,0.021474302162567356,0.07776612745760453,-0.1309473076543375,0.1738959119794722,70,0.17142857142857143,0.11860372729790547,-0.06103473407532328,0.40389187693246614,AUD_USD,100,2.5,14,long,233
191,-0.1335944240994535,0.07150684892329455,-0.2737478479891108,0.006558999790203829,83,0.0480720877082218,0.10963587685362043,-0.16681423092487424,0.26295840634131784,AUD_USD,100,1.0,14,short,274
198,-0.06060606060606061,0.07111608103527862,-0.1999935794352067,0.0787814582230855,85,0.16458803858567542,0.10696835602845878,-0.04506993923010377,0.3742460164014546,AUD_USD,100,1.5,14,short,283
186,-0.03225806451612903,0.07348319967116121,-0.176285135871605,0.11176900683934693,80,0.2934231207815826,0.10698453342459913,0.08373343526936833,0.5031128062937968,AUD_USD,100,2.0,14,short,266
165,0.01818181818181818,0.07807397295496873,-0.13484316880992053,0.1712068051735569,71,0.07746872808733797,0.11852855458458168,-0.1548472388984421,0.30978469507311807,AUD_USD,100,2.5,14,short,236
135,-0.17037037037037037,0.08512387535802822,-0.33721316607210566,-0.0035275746686350695,59,0.01694915254237288,0.13128757105787853,-0.24037448673106904,0.2742727918158148,AUD_USD,200,1.0,14,long,194
126,-0.1119019736447598,0.08881328871893206,-0.28597601953386664,0.062172072244347024,55,0.2,0.13333333333333333,-0.061333333333333295,0.4613333333333333,AUD_USD,200,1.5,14,long,181
129,-0.08527131782945736,0.08806641680233923,-0.25788149476204225,0.08733885910312754,56,0.35714285714285715,0.12594724578112687,0.1102862554118485,0.6039994588738657,AUD_USD,200,2.0,14,long,185
122,-0.11475409836065574,0.09030853894213482,-0.29175883468724,0.062250637965928515,53,0.32075471698113206,0.13134777761101615,0.06331307286354043,0.5781963610987237,AUD_USD,200,2.5,14,long,175
146,0.10717386962273881,0.08240083044850673,-0.05433175805633436,0.26867949730181195,63,-0.015873015873015872,0.12698412698412698,-0.26476190476190475,0.233015873015873,AUD_USD,200,1.0,14,short,209
137,-0.021897810218978103,0.08572873110898108,-0.189926123192581,0.1461305027546248,60,-0.01683361200362651,0.12908095180964674,-0.26983227755053407,0.23616505354328107,AUD_USD,200,1.5,14,short,197
142,-0.056338028169014086,0.08408143749834102,-0.2211376456657625,0.10846158932773431,61,-0.09852486426586214,0.12740362719387324,-0.3482359735658537,0.15118624503412942,AUD_USD,200,2.0,14,short,203
134,-0.05970149253731343,0.08655632838432187,-0.2293518961705843,0.10994891109595742,58,-0.04355431616333434,0.13143825910481308,-0.30117330400876796,0.2140646716820993,AUD_USD,200,2.5,14,short,192
372,-0.0275003293833973,0.0506242110994844,-0.12672378313838673,0.07172312437159212,160,0.06997567044230338,0.07089298052961909,-0.06897457139575003,0.20892591228035678,USD_CAD,20,1.0,14,long,532
