tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,tenkan,kijun,senkou_b,displacement,trigger,direction,total_n
101,0.04950495049504951,0.09987738782509697,-0.14625472964214054,0.24526463063223958,44,0.2727272727272727,0.1467175608701689,-0.014839146578258355,0.5602936920328038,NZD_USD,12,30,60,30,tk_cross_above_cloud,long,145
100,0.14,0.0995139703912486,-0.05504738196684722,0.33504738196684725,43,-0.11627906976744186,0.15325664577635612,-0.4166620954890998,0.18410395595421614,NZD_USD,12,30,60,30,tk_cross_above_cloud,short,143
268,0.04054002702310506,0.060593731346612764,-0.07822368641625596,0.15930374046246606,116,-0.08620689655172414,0.09290333316372318,-0.2682974295526216,0.09588363644917328,USD_SEK,9,26,52,26,tk_cross,long,384
261,0.011534488796762478,0.061808245220391,-0.10960967183520387,0.13267864942872884,112,0.08928571428571429,0.09453671107438194,-0.09600623942007432,0.2745776679915029,USD_SEK,9,26,52,26,tk_cross,short,373
266,0.13283120406415366,0.06045186857036581,0.01434554166623668,0.25131686646207063,115,-0.043478260869565216,0.09357001510416878,-0.226875490473736,0.13991896873460558,USD_SEK,9,26,52,26,cloud_break,long,381
291,-0.03563190158469558,0.05833647205531483,-0.14997138681311264,0.07870758364372149,126,0.06349206349206349,0.08926225441354346,-0.1114619551584817,0.23844608214260868,USD_SEK,9,26,52,26,cloud_break,short,417
107,0.14714298713691085,0.0953374510694126,-0.03971841695913786,0.33400439123295955,46,0.08695652173913043,0.14850653283999418,-0.20411628262725817,0.37802932610551904,USD_SEK,9,26,52,26,tk_cross_above_cloud,long,153
114,0.01208520777643278,0.0937107906612399,-0.17158794191959742,0.19575835747246295,49,0.1836734693877551,0.14188199737832796,-0.0944152454737677,0.46176218424927795,USD_SEK,9,26,52,26,tk_cross_above_cloud,short,163
304,0.017888536326886816,0.05714746531552631,-0.09412049569154474,0.12989756834531838,131,0.04334726960278831,0.08732241270794686,-0.12780465930478752,0.21449919851036414,USD_SEK,7,22,44,22,tk_cross,long,435
309,0.015535779313937301,0.056556940280170755,-0.09531582363519737,0.12638738226307197,133,0.03759398496240601,0.08697729990751532,-0.132881522856324,0.20806949278113604,USD_SEK,7,22,44,22,tk_cross,short,442
304,0.0732884438755944,0.05683569118895382,-0.038109510854755085,0.18468639860594388,131,-0.1450381679389313,0.0867784061158481,-0.3151238439259936,0.025047508048130968,USD_SEK,7,22,44,22,cloud_break,long,435
306,0.06504501387241238,0.05704171662308954,-0.04675675070884311,0.17684677845366786,132,0.06060606060606061,0.08720979816694449,-0.1103251438011506,0.23153726501327182,USD_SEK,7,22,44,22,cloud_break,short,438
123,0.13907642989518457,0.08958097778754953,-0.036502286568412506,0.31465514635878167,54,0.1111111111111111,0.1365100259631003,-0.15644853977656548,0.3786707619987877,USD_SEK,7,22,44,22,tk_cross_above_cloud,long,177
137,0.017355574354112027,0.08546761011533417,-0.15016094147194295,0.184872090180167,59,0.22033898305084745,0.1280793620181158,-0.03069656650465949,0.4713745326063544,USD_SEK,7,22,44,22,tk_cross_above_cloud,short,196
218,0.1377435825332614,0.06692727969095148,0.006566114338996509,0.2689210507275263,94,-0.10638297872340426,0.10310672317481907,-0.3084721561460496,0.09570619869924112,USD_SEK,12,30,60,30,tk_cross,long,312
215,0.030091284735535916,0.06787761782892587,-0.1029488462091588,0.16313141568023062,93,0.07526881720430108,0.10396145842887838,-0.12849564131630054,0.2790332757249027,USD_SEK,12,30,60,30,tk_cross,short,308
253,0.07370424258526065,0.062088968359008914,-0.04799013539839682,0.1953986205689181,109,0.045871559633027525,0.09612375318349668,-0.14253099660662596,0.23427411587268102,USD_SEK,12,30,60,30,cloud_break,long,362
242,-0.026282135886826628,0.06404482383352421,-0.15180999060053407,0.09924571882688082,105,0.10476190476190476,0.09751848657634582,-0.08637432892773304,0.29589813845154256,USD_SEK,12,30,60,30,cloud_break,short,347
