instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high
WTICO_USD,trend,supertrend10x3,D1,limit,1,1615,-0.33540400518319874,0,0.028726232780953376,-0.39170742143386733,-0.27910058893253015
WTICO_USD,trend,supertrend10x3,D1,market,-1,1542,-0.546036166022126,0,0.026684943415986068,-0.5983386551174588,-0.4937336769267933
WTICO_USD,trend,supertrend10x3,D1,market,1,1615,-0.4838798740157292,0,0.02688948360944283,-0.5365832618902371,-0.4311764861412212
WTICO_USD,trend,supertrend10x3,H4,limit,-1,7713,-0.02943708409415274,0,0.01414194585595461,-0.057155297971823775,-0.001718870216481705
WTICO_USD,trend,supertrend10x3,H4,limit,1,8331,0.016588555863768232,0,0.013654070642179989,-0.010173422594904547,0.043350534322441014
WTICO_USD,trend,supertrend10x3,H4,market,-1,7713,-0.250959440542621,0,0.013571686706224922,-0.2775599464868218,-0.22435893459842013
WTICO_USD,trend,supertrend10x3,H4,market,1,8331,-0.20833405235536945,0,0.013177987809968273,-0.23416290846290727,-0.18250519624783162
WTICO_USD,trend,tsmom63,D1,limit,-1,1407,-0.44851421176220774,0,0.029479220556616652,-0.5062934840531764,-0.3907349394712391
WTICO_USD,trend,tsmom63,D1,limit,1,1696,-0.373963924539727,0,0.027542974610813502,-0.42794815477692144,-0.31997969430253254
WTICO_USD,trend,tsmom63,D1,market,-1,1407,-0.5712568019327398,0,0.027493399504916752,-0.6251438649623766,-0.5173697389031029
WTICO_USD,trend,tsmom63,D1,market,1,1696,-0.4947107237614112,0,0.02599037273103874,-0.5456518543142471,-0.44376959320857523
WTICO_USD,trend,tsmom63,H4,limit,-1,6969,-0.04952164004982227,0,0.014859522599624404,-0.0786463043450861,-0.020396975754558438
WTICO_USD,trend,tsmom63,H4,limit,1,9021,-0.006185304419509487,0,0.013085823208229928,-0.03183351790764014,0.01946290906862117
WTICO_USD,trend,tsmom63,H4,market,-1,6969,-0.25737133446607907,0,0.014266310555365804,-0.28533330315459604,-0.2294093657775621
WTICO_USD,trend,tsmom63,H4,market,1,9021,-0.22775098482756279,0,0.012593687339934666,-0.2524346120138347,-0.20306735764129083
XAG_USD,mr_under_limit,atr_range_exp,H4,limit,1,2258,-0.04797282637134129,0,0.026446105598053833,-0.0998071933435268,0.003861540600844225
XAG_USD,mr_under_limit,atr_range_exp,H4,market,1,2258,-0.25807561498851084,0,0.02573619560686709,-0.3085185583779703,-0.20763267159905135
XAG_USD,mr_under_limit,bb_p20_2,H4,limit,1,890,-0.1727620513917202,0,0.042295477510707655,-0.2556611873127072,-0.0898629154707332
XAG_USD,mr_under_limit,bb_p20_2,H4,market,1,890,-0.4084239078162463,0,0.04029917475231809,-0.48741029033078975,-0.3294375253017029
XAG_USD,mr_under_limit,cci20_lt-100,H4,limit,1,2890,-0.1243892517479024,1,0.026956475572131038,-0.17722394386927923,-0.07155455962652557
XAG_USD,mr_under_limit,cci20_lt-100,H4,market,1,2890,-0.32307027037353003,0,0.022631013498810516,-0.36742705683119864,-0.2787134839158614
XAG_USD,mr_under_limit,ema50_dist_low,H4,limit,1,4269,-0.12197946361645932,0,0.01915784037819051,-0.15952883075771274,-0.08443009647520593
XAG_USD,mr_under_limit,ema50_dist_low,H4,market,1,4269,-0.32198774121947665,0,0.018532855907240277,-0.3583121387976676,-0.2856633436412857
XAG_USD,mr_under_limit,macd_hist_low,H4,limit,1,1804,-0.12095823975635984,0,0.029571868668939964,-0.17891910234748218,-0.06299737716523751
XAG_USD,mr_under_limit,macd_hist_low,H4,market,1,1804,-0.3160772747726302,0,0.02856917888996388,-0.3720728653969594,-0.260081684148301
XAG_USD,mr_under_limit,rsi14_lt30,H4,limit,1,947,-0.1213625217778446,0,0.04120066984471478,-0.20211583467348557,-0.04060920888220362
