instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high,baseline_n,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_block_len,excess_boot_se,excess_ci_low,excess_ci_high,split
XCU_USD,mr_under_limit,ema20_dist_-2.0%,H4,market,1,208,-0.0751610725560575,2,0.08654436684244458,-0.24478803156724888,0.09446588645513387,7631,-0.02685620942132832,-0.04830486313472918,,2,0.08120292767479173,-0.2025706300700113,0.1057343099009481,2016-2021
XCU_USD,mr_under_limit,ema20_dist_-2.0%,H4,market,1,453,-0.0434097819381276,1,0.05468766554124233,-0.15059760639896258,0.06377804252270737,8338,-0.008373467833768947,-0.03503631410435865,,1,0.045508811437313446,-0.11947253144390833,0.049658403105121034,2021-2026
XCU_USD,mr_under_limit,ema50_dist_-0.5%,H4,limit,1,2480,0.2681336577187132,2,0.027385347540637067,0.21445837653906458,0.3218089388983619,7631,0.21805171635757506,0.050081941361138166,,2,0.030434047182522937,-0.008866816162820645,0.10201561736730458,2016-2021
XCU_USD,mr_under_limit,ema50_dist_-0.5%,H4,limit,1,2916,0.2366617304750152,1,0.021587598962529573,0.19435003650845725,0.2789734244415732,8338,0.22226554936177506,0.014396181113240147,,1,0.020941696110156418,-0.026835759780570487,0.050409814422692954,2021-2026
XCU_USD,mr_under_limit,ema50_dist_-0.5%,H4,market,1,2480,0.0231185655099003,3,0.031565938354007284,-0.038750673663953975,0.08498780468375458,7631,-0.02685620942132832,0.04997477493122862,0.036888915328299264,3,0.03220811496297769,-0.008513427963065893,0.1160835260210601,2016-2021
XCU_USD,mr_under_limit,ema50_dist_-0.5%,H4,market,1,2916,0.009754918398484714,2,0.025675361679367625,-0.04056879049307583,0.060078627290045254,8338,-0.008373467833768947,0.01812838623225366,,2,0.024991520027990318,-0.031365436497789036,0.07288361404588899,2021-2026
XCU_USD,mr_under_limit,ema50_dist_-1.0%,H4,limit,1,1644,0.26101154642805413,2,0.033655987985685414,0.1950458099761107,0.32697728287999756,7631,0.21805171635757506,0.04295983007047907,,2,0.032950453613615954,-0.017913592264897204,0.09931021551439716,2016-2021
XCU_USD,mr_under_limit,ema50_dist_-1.0%,H4,limit,1,2079,0.27168591555642607,1,0.025332337242233043,0.22203453456164932,0.32133729655120286,8338,0.22226554936177506,0.04942036619465101,,1,0.0215866426220803,0.0014254465255734107,0.09517574338526098,2021-2026
XCU_USD,mr_under_limit,ema50_dist_-1.0%,H4,market,1,1644,0.027582253571716307,3,0.03827262447033026,-0.047432090390131,0.10259659753356362,7631,-0.02685620942132832,0.054438462993044626,0.039758617206601295,3,0.04115307213264146,-0.024806095545144395,0.12537339137137243,2016-2021
XCU_USD,mr_under_limit,ema50_dist_-1.0%,H4,market,1,2079,0.043809731070565294,2,0.030241828946190975,-0.015464253663969016,0.1030837158050996,8338,-0.008373467833768947,0.05218319890433424,,2,0.03285621663549615,-0.011673157484565672,0.10609053941331077,2021-2026
