evaluator,level,pair_or_pooled,direction,bucket_type,bucket,n,mean_R,SE,CI_low
ema,PAIR,CHF_JPY,short,quintile,Q4,64,-0.13495826295034835,0.1230622029685919,-0.37616018076878843
ema,PAIR,CHF_JPY,short,quintile,Q5_deep,69,0.03800412369187627,0.11756527832649512,-0.19242382182805415
ema,PAIR,EUR_CAD,long,fixed,0.1_0.25,81,0.14462825381964217,0.10467559762949888,-0.060535917534175615
ema,PAIR,EUR_CAD,long,fixed,0.25_0.5,90,0.16893126313303902,0.09931197965175809,-0.025720216984406824
ema,PAIR,EUR_CAD,long,fixed,0.5_1,63,0.09929068345935259,0.12100460667912366,-0.1378783456317298
ema,PAIR,EUR_CAD,long,fixed,0_0.1,85,0.0019251785925038642,0.10219327198639062,-0.19837363450082177
ema,PAIR,EUR_CAD,long,fixed,>=1,16,0.22317776204450487,0.24604310324289053,-0.2590667203115605
ema,PAIR,EUR_CAD,long,quintile,Q1_shallow,76,-0.06363631341627858,0.10699966050100791,-0.27335564799825407
ema,PAIR,EUR_CAD,long,quintile,Q2,58,0.3345158735484015,0.11960084068659686,0.10009822580267166
ema,PAIR,EUR_CAD,long,quintile,Q3,62,0.03153683127832123,0.12176153032293478,-0.20711576815463095
ema,PAIR,EUR_CAD,long,quintile,Q4,69,0.10958692806233801,0.11450931983962007,-0.11485133882331731
ema,PAIR,EUR_CAD,long,quintile,Q5_deep,70,0.183230817866447,0.1131049739361632,-0.03845493104843287
ema,PAIR,EUR_CAD,short,fixed,0.1_0.25,89,0.17330923129685838,0.10025428438589636,-0.023189166099498476
ema,PAIR,EUR_CAD,short,fixed,0.25_0.5,81,0.1564918070488921,0.10643585253087025,-0.0521224639116136
ema,PAIR,EUR_CAD,short,fixed,0.5_1,85,0.04806714580123985,0.10667798619138694,-0.16102170713387853
ema,PAIR,EUR_CAD,short,fixed,0_0.1,76,-0.12135565093891584,0.10849382096863298,-0.3340035400374365
ema,PAIR,EUR_CAD,short,fixed,>=1,24,0.2145783650156683,0.1867338757422824,-0.15142003143920518
ema,PAIR,EUR_CAD,short,quintile,Q1_shallow,62,-0.07428235605132842,0.12029077775182487,-0.3100522804449052
ema,PAIR,EUR_CAD,short,quintile,Q2,56,0.1549733216949311,0.1298979742643668,-0.0996267078632278
ema,PAIR,EUR_CAD,short,quintile,Q3,74,0.15494865194721286,0.10981708893339105,-0.06029284236223359
ema,PAIR,EUR_CAD,short,quintile,Q4,61,-0.004521181480346038,0.12351867600590968,-0.246617786451929
ema,PAIR,EUR_CAD,short,quintile,Q5_deep,102,0.1259755737742947,0.09554034683900442,-0.06128350603015398
ema,PAIR,EUR_CHF,long,fixed,0.1_0.25,61,-0.17864185262243035,0.11286378191604166,-0.399854865177872
ema,PAIR,EUR_CHF,long,fixed,0.25_0.5,65,-0.21927052989604745,0.10315235093178518,-0.4214491377223464
ema,PAIR,EUR_CHF,long,fixed,0.5_1,61,0.032059026311211145,0.11165083111226771,-0.18677660266883356
ema,PAIR,EUR_CHF,long,fixed,0_0.1,73,-0.0928638117558893,0.09381745418021177,-0.27674602194910436
ema,PAIR,EUR_CHF,long,fixed,>=1,18,0.49112669760707195,0.1875017219023682,0.12362332267843029
ema,PAIR,EUR_CHF,long,quintile,Q1_shallow,56,-0.1530258053304924,0.10548197647286237,-0.35977047921730265
ema,PAIR,EUR_CHF,long,quintile,Q2,56,-0.2118835527689819,0.11133390550832033,-0.4300980075652897
ema,PAIR,EUR_CHF,long,quintile,Q3,43,-0.14592093359523153,0.1365656196722168,-0.4135895481527765
ema,PAIR,EUR_CHF,long,quintile,Q4,59,-0.0998449476117416,0.110868399875853,-0.31714701136841345
ema,PAIR,EUR_CHF,long,quintile,Q5_deep,64,0.17917908684028416,0.10917867295715267,-0.03481111215573507
ema,PAIR,EUR_CHF,short,fixed,0.1_0.25,72,0.1184012993125263,0.0979306552467006,-0.07354278497100686
ema,PAIR,EUR_CHF,short,fixed,0.25_0.5,69,0.13299543290195695,0.10885953757043507,-0.08036926073609577
ema,PAIR,EUR_CHF,short,fixed,0.5_1,42,-0.16761868573175362,0.13446812772081243,-0.4311762160645459
ema,PAIR,EUR_CHF,short,fixed,0_0.1,64,0.09687825022834702,0.11135254590525621,-0.12137273974595515
ema,PAIR,EUR_CHF,short,fixed,>=1,21,-0.060890437484556165,0.20970521866218095,-0.47191266606243076
ema,PAIR,EUR_CHF,short,quintile,Q1_shallow,48,0.21052661919626137,0.12471707367074164,-0.03391884519839225
ema,PAIR,EUR_CHF,short,quintile,Q2,62,0.05674183484818538,0.10564435650541315,-0.1503211039024244
ema,PAIR,EUR_CHF,short,quintile,Q3,40,0.08470166488716983,0.13743118399646345,-0.18466345574589849
ema,PAIR,EUR_CHF,short,quintile,Q4,60,0.0667924445861726,0.12188048265998332,-0.1720933014273947
ema,PAIR,EUR_CHF,short,quintile,Q5_deep,58,-0.09372038457281703,0.11741264411495517,-0.32384916703812916
ema,PAIR,EUR_GBP,long,fixed,0.1_0.25,82,0.11553600913226834,0.10196297557101133,-0.08431142298691387
ema,PAIR,EUR_GBP,long,fixed,0.25_0.5,77,0.08132002635591777,0.09813018284752123,-0.11101513202522383
ema,PAIR,EUR_GBP,long,fixed,0.5_1,53,0.09826240638133507,0.12431697051956625,-0.14539885583701478
ema,PAIR,EUR_GBP,long,fixed,0_0.1,81,0.15943370388735717,0.1000335381984597,-0.03663203098162385
ema,PAIR,EUR_GBP,long,fixed,>=1,17,0.22237828822363867,0.21472644756065865,-0.19848554899525225
ema,PAIR,EUR_GBP,long,quintile,Q1_shallow,67,0.14331528249182476,0.10888703588402411,-0.0701033078408625
ema,PAIR,EUR_GBP,long,quintile,Q2,60,0.15573432457254122,0.1215250391547223,-0.08245475217071449
ema,PAIR,EUR_GBP,long,quintile,Q3,66,0.15572835109475572,0.1075894473014034,-0.05514696561599494
ema,PAIR,EUR_GBP,long,quintile,Q4,58,0.030358016842898173,0.11689002885844331,-0.1987464397196507
ema,PAIR,EUR_GBP,long,quintile,Q5_deep,59,0.11276345221514432,0.11546691814614007,-0.11355170735129023
ema,PAIR,EUR_GBP,short,fixed,0.1_0.25,81,-0.07997160841044797,0.10571950809364952,-0.287181844274001
ema,PAIR,EUR_GBP,short,fixed,0.25_0.5,93,0.055972922936768525,0.09876841323773199,-0.13761316700918616
ema,PAIR,EUR_GBP,short,fixed,0.5_1,73,0.07263558952238944,0.11157040371598521,-0.14604240176094158
ema,PAIR,EUR_GBP,short,fixed,0_0.1,77,0.04836789118421115,0.10337422847715912,-0.15424559663102072
ema,PAIR,EUR_GBP,short,fixed,>=1,17,0.29021436504208475,0.22523981320433348,-0.15125566883840885
ema,PAIR,EUR_GBP,short,quintile,Q1_shallow,65,0.017056344236104883,0.11342345380850051,-0.2052536252285561
ema,PAIR,EUR_GBP,short,quintile,Q2,55,0.04048768850901006,0.12620466492765195,-0.20687345474918778
ema,PAIR,EUR_GBP,short,quintile,Q3,63,-0.11974110556326832,0.12001434925751404,-0.35496923010799586
ema,PAIR,EUR_GBP,short,quintile,Q4,79,0.08592552387128691,0.10602184812906941,-0.12187729846168913
ema,PAIR,EUR_GBP,short,quintile,Q5_deep,79,0.12795239791416685,0.10750899420352629,-0.08276523072474468
ema,PAIR,EUR_NOK,long,fixed,0.1_0.25,81,0.10510883813945229,0.1071615363990199,-0.10492777320262672
