pair,tf,fast,slow,direction,n,w,l,t,wr_decisive,ci_low,ci_high
USD_SEK,H4,10,100,long,142,75,65,2,0.5357142857142857,0.4531007275049942,0.6183278439235772
USD_SEK,H4,10,100,short,143,75,67,1,0.528169014084507,0.4460598581245264,0.6102781700444876
USD_SEK,H4,10,200,long,95,48,45,2,0.5161290322580645,0.4145606526032969,0.6176974119128321
USD_SEK,H4,10,200,short,95,48,45,2,0.5161290322580645,0.4145606526032969,0.6176974119128321
USD_SEK,H4,20,50,long,181,99,81,1,0.55,0.47732125482646254,0.6226787451735375
USD_SEK,H4,20,50,short,181,87,93,1,0.48333333333333334,0.4103290378398911,0.5563376288267755
USD_SEK,H4,20,100,long,107,55,50,2,0.5238095238095238,0.4282798115419475,0.6193392360771002
USD_SEK,H4,20,100,short,108,46,62,0,0.42592592592592593,0.33266597153703514,0.5191858803148167
USD_SEK,H4,20,200,long,68,42,26,0,0.6176470588235294,0.5021411978986431,0.7331529197484158
USD_SEK,H4,20,200,short,68,36,32,0,0.5294117647058824,0.41077509639553506,0.6480484330162296
USD_SEK,H4,50,100,long,83,47,35,1,0.573170731707317,0.46611294911506845,0.6802285142995655
USD_SEK,H4,50,100,short,84,37,47,0,0.44047619047619047,0.3343098290602679,0.5466425518921131
USD_SEK,H4,50,200,long,47,28,19,0,0.5957446808510638,0.45544228068730375,0.7360470810148239
USD_SEK,H4,50,200,short,46,22,24,0,0.4782608695652174,0.33390438908126585,0.622617350049169
USD_SEK,H4,100,200,long,41,22,19,0,0.5365853658536586,0.38394534131975266,0.6892253903875645
USD_SEK,H4,100,200,short,40,19,20,1,0.48717948717948717,0.33030549125404296,0.6440534831049314
AUD_CHF,H4,10,50,long,219,104,111,4,0.48372093023255813,0.41692091822743993,0.5505209422376763
AUD_CHF,H4,10,50,short,218,106,102,10,0.5096153846153846,0.4416771766017642,0.577553592629005
AUD_CHF,H4,10,100,long,141,70,69,2,0.5035971223021583,0.42047675831382236,0.5867174862904941
AUD_CHF,H4,10,100,short,141,65,69,7,0.48507462686567165,0.4004532480347728,0.5696960056965705
AUD_CHF,H4,10,200,long,109,51,57,1,0.4722222222222222,0.3780673162472351,0.5663771281972093
AUD_CHF,H4,10,200,short,109,47,56,6,0.4563106796116505,0.3601177444311544,0.5525036147921466
AUD_CHF,H4,20,50,long,175,84,88,3,0.4883720930232558,0.4136680029722686,0.563076183074243
AUD_CHF,H4,20,50,short,174,87,79,8,0.5240963855421686,0.4481220148824485,0.6000707562018888
AUD_CHF,H4,20,100,long,106,54,49,3,0.5242718446601942,0.4278234165059773,0.620720272814411
AUD_CHF,H4,20,100,short,106,58,46,2,0.5576923076923077,0.4622372432808138,0.6531473721038017
