tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,k,atr_period,direction,total_n
254,118,112,24,0.5130434782608696,0.44844618326905344,0.5776407732526858,109,56,49,4,0.5333333333333333,0.43790789220354437,0.6287587744631222,EUR_USD,H4,50,2.5,14,long,363
401,189,181,31,0.5108108108108108,0.4598749471044047,0.5617466745172169,172,70,96,6,0.42168674698795183,0.3465627691623256,0.4968107248135781,EUR_USD,H4,50,1.0,14,short,573
364,181,153,30,0.5419161676646707,0.48848171392191037,0.5953506214074309,157,71,80,6,0.47019867549668876,0.39058918979479057,0.549808161198587,EUR_USD,H4,50,1.5,14,short,521
329,174,131,24,0.5704918032786885,0.5149376434036396,0.6260459631537375,141,55,74,12,0.4263565891472868,0.3410134308994762,0.5116997473950974,EUR_USD,H4,50,2.0,14,short,470
262,134,108,20,0.5537190082644629,0.4910868612719039,0.6163511552570218,113,48,52,13,0.48,0.3820784313851131,0.5779215686148869,EUR_USD,H4,50,2.5,14,short,375
282,119,131,32,0.476,0.4140908007352704,0.5379091992647296,122,50,65,7,0.43478260869565216,0.34417785349395286,0.5253873638973515,EUR_USD,H4,100,1.0,14,long,404
259,114,117,28,0.4935064935064935,0.42903266524704975,0.5579803217659373,111,50,57,4,0.4672897196261682,0.3727524979459638,0.5618269413063726,EUR_USD,H4,100,1.5,14,long,370
237,104,112,21,0.48148148148148145,0.41484667732913105,0.5481162856338319,103,44,55,4,0.4444444444444444,0.3465606125608922,0.5423282763279966,EUR_USD,H4,100,2.0,14,long,340
225,90,106,29,0.45918367346938777,0.3894172994861033,0.5289500474526723,97,38,55,4,0.40860215053763443,0.3086931092464973,0.5085111918287716,EUR_USD,H4,100,2.5,14,long,322
274,134,126,14,0.5153846153846153,0.4546363724355982,0.5761328583336325,118,48,58,12,0.4528301886792453,0.35806869690886345,0.5475916804496271,EUR_USD,H4,100,1.0,14,short,392
271,154,106,11,0.5923076923076923,0.5325753778914091,0.6520400067239756,117,46,63,8,0.42201834862385323,0.3293000369201046,0.5147366603276019,EUR_USD,H4,100,1.5,14,short,388
257,140,104,13,0.5737704918032787,0.5117190296702888,0.6358219539362685,111,43,60,8,0.4174757281553398,0.3222377674867417,0.5127136888239379,EUR_USD,H4,100,2.0,14,short,368
256,128,113,15,0.5311203319502075,0.4681153757397445,0.5941252881606705,110,53,54,3,0.4953271028037383,0.40059106445455217,0.5900631411529245,EUR_USD,H4,100,2.5,14,short,366
184,62,94,28,0.3974358974358974,0.3206416046270285,0.4742301902447663,80,32,45,3,0.4155844155844156,0.30550623832415824,0.525662592844673,EUR_USD,H4,200,1.0,14,long,264
192,67,110,15,0.3785310734463277,0.3070765189653095,0.44998562792734587,83,38,39,6,0.4935064935064935,0.38183454720266685,0.6051784398103202,EUR_USD,H4,200,1.5,14,long,275
198,72,109,17,0.39779005524861877,0.3264854292594979,0.4690946812377396,86,41,41,4,0.5,0.39177710444665037,0.6082228955533496,EUR_USD,H4,200,2.0,14,long,284
203,82,102,19,0.44565217391304346,0.37383367082106184,0.5174706770050251,88,36,48,4,0.42857142857142855,0.3227413761288449,0.5344014810140122,EUR_USD,H4,200,2.5,14,long,291
208,109,86,13,0.558974358974359,0.4892849744618848,0.6286637434868332,90,41,47,2,0.4659090909090909,0.3616838469235442,0.5701343348946375,EUR_USD,H4,200,1.0,14,short,298
186,105,73,8,0.5898876404494382,0.5176302709025795,0.6621450099962969,81,35,42,4,0.45454545454545453,0.34332654031750687,0.5657643687734022,EUR_USD,H4,200,1.5,14,short,267
166,84,73,9,0.535031847133758,0.45701153816462725,0.6130521561028887,72,25,44,3,0.36231884057971014,0.2489016780703483,0.475736003089072,EUR_USD,H4,200,2.0,14,short,238
154,67,81,6,0.4527027027027027,0.3725084196571727,0.5328969857482327,66,24,38,4,0.3870967741935484,0.2658511827783741,0.5083423656087227,EUR_USD,H4,200,2.5,14,short,220
537,225,298,14,0.43021032504780116,0.38777740401226324,0.4726432460833391,231,115,103,13,0.5275229357798165,0.46124959500919094,0.593796276550442,GBP_USD,H4,20,1.0,14,long,768
415,186,221,8,0.457002457002457,0.40860561025878295,0.5053993037461311,178,85,82,11,0.5089820359281437,0.4331595963509387,0.5848044755053488,GBP_USD,H4,20,1.5,14,long,593
