pair,tf,period,k,atr_period,direction,n,w,l,t,wr_decisive,ci_low,ci_high
AUD_USD,H4,100,2.0,14,long,354,176,175,3,0.5014245014245015,0.449116183471327,0.5537328193776759
AUD_USD,H4,100,2.5,14,long,339,171,161,7,0.5150602409638554,0.4613001569165617,0.5688203250111491
AUD_USD,H4,100,1.0,14,short,366,172,189,5,0.47645429362880887,0.42493256876877544,0.5279760184888422
AUD_USD,H4,100,1.5,14,short,397,204,191,2,0.5164556962025316,0.46717325695005985,0.5657381354550034
AUD_USD,H4,100,2.0,14,short,381,191,186,4,0.506631299734748,0.4561631710478978,0.5570994284215981
AUD_USD,H4,100,2.5,14,short,335,176,158,1,0.5269461077844312,0.4734008210534422,0.5804913945154202
AUD_USD,H4,200,1.0,14,long,298,133,162,3,0.45084745762711864,0.3940660211659626,0.5076288940882747
AUD_USD,H4,200,1.5,14,long,259,131,126,2,0.5097276264591439,0.4486084763207366,0.5708467765975513
AUD_USD,H4,200,2.0,14,long,253,129,124,0,0.5098814229249012,0.4482813838965356,0.5714814619532669
AUD_USD,H4,200,2.5,14,long,251,136,115,0,0.5418326693227091,0.48019249425717875,0.6034728443882396
AUD_USD,H4,200,1.0,14,short,294,158,135,1,0.5392491467576792,0.4821736015737736,0.5963246919415849
AUD_USD,H4,200,1.5,14,short,292,148,144,0,0.5068493150684932,0.449504534144571,0.5641940959924153
AUD_USD,H4,200,2.0,14,short,283,134,149,0,0.4734982332155477,0.41532516753009,0.5316712989010053
AUD_USD,H4,200,2.5,14,short,257,125,127,5,0.49603174603174605,0.43429949306588206,0.5577639989976101
USD_CAD,H4,20,1.0,14,long,770,353,324,93,0.5214180206794683,0.4837881326430913,0.5590479087158453
USD_CAD,H4,20,1.5,14,long,594,290,244,60,0.5430711610486891,0.500820053487689,0.5853222686096893
USD_CAD,H4,20,2.0,14,long,417,186,172,59,0.5195530726256983,0.46779808287054125,0.5713080623808553
USD_CAD,H4,20,2.5,14,long,274,126,115,33,0.5228215767634855,0.4597600181829644,0.5858831353440066
USD_CAD,H4,20,1.0,14,short,760,314,335,111,0.48382126348228044,0.4453730421349319,0.522269484829629
USD_CAD,H4,20,1.5,14,short,592,245,251,96,0.4939516129032258,0.449951533568639,0.5379516922378127
USD_CAD,H4,20,2.0,14,short,437,194,181,62,0.5173333333333333,0.4667567692580696,0.5679098974085971
USD_CAD,H4,20,2.5,14,short,304,149,120,35,0.5539033457249071,0.4944999312662478,0.6133067601835663
USD_CAD,H4,50,1.0,14,long,506,234,204,68,0.5342465753424658,0.4875303313514234,0.5809628193335081
USD_CAD,H4,50,1.5,14,long,489,254,181,54,0.5839080459770115,0.5375870027708212,0.6302290891832019
USD_CAD,H4,50,2.0,14,long,447,214,175,58,0.5501285347043702,0.500690911815362,0.5995661575933784
USD_CAD,H4,50,2.5,14,long,383,180,167,36,0.5187319884726225,0.4661597647605174,0.5713042121847275
USD_CAD,H4,50,1.0,14,short,555,236,237,82,0.4989429175475687,0.45388257024344436,0.544003264851693
