tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n
257,-0.03406474174343626,0.06015156792821175,-0.15196181488273128,0.08383233139585877,111,-0.04013798674494111,0.08518366271323541,-0.20709796566288252,0.12682199217300028,USD_CAD,7,2.0,short,368
189,0.09640610744729106,0.07017356998141443,-0.041134089716281214,0.23394630461086333,82,0.007272208708545714,0.10000693035956744,-0.18874137479620645,0.2032857922132979,USD_CAD,7,2.5,long,271
189,-0.01672033795749789,0.0699225688097644,-0.1537685728246361,0.12032789690964033,82,-0.10231686705156276,0.09767191003961025,-0.2937538107291988,0.08912007662607332,USD_CAD,7,2.5,short,271
154,0.12922591280735968,0.07730161759022774,-0.02228525766948669,0.28073708328420605,67,-0.0443967218416594,0.10987691049721435,-0.2597554664161995,0.17096202273288072,USD_CAD,7,3.0,long,221
154,-0.020558340308810208,0.07811081107001566,-0.1736555300060409,0.13253884938842048,67,-0.1296651843021929,0.10915945339572937,-0.34361771295782245,0.08428734435343666,USD_CAD,7,3.0,short,221
377,0.04332356311349188,0.04938755952224204,-0.053476053550102515,0.14012317977708627,162,0.12237319780353945,0.07152307899133639,-0.017812037019479893,0.26255843262655876,USD_CAD,10,1.5,long,539
377,-0.031791895159238685,0.04988609049836612,-0.1295686325360363,0.0659848422175589,162,-0.1867657173424818,0.06916580302600132,-0.3223306912734444,-0.0512007434115192,USD_CAD,10,1.5,short,539
255,0.06455462530273876,0.0600514129603904,-0.053146144099626424,0.18225539470510393,110,0.09591314111543857,0.0875131632400587,-0.0756126588350765,0.2674389410659536,USD_CAD,10,2.0,long,365
255,-0.004998830570618393,0.06028625954534349,-0.12315989927949163,0.11316223813825484,110,-0.04901872312000407,0.08528221752009789,-0.21617186945939593,0.11813442321938777,USD_CAD,10,2.0,short,365
187,0.11851764597300447,0.07032967664690236,-0.01932852025492414,0.25636381220093307,81,0.015602850461162754,0.10033836018718721,-0.18106033550572417,0.21226603642804967,USD_CAD,10,2.5,long,268
187,-0.017170624683070724,0.07060398928798836,-0.1555544436875279,0.12121319432138646,81,-0.12002668380625575,0.09944146081693317,-0.31493194700744476,0.07487857939493325,USD_CAD,10,2.5,short,268
152,0.14279654669047,0.07782631785424429,-0.00974303630384879,0.29533612968478884,66,-0.042767611392191186,0.1095467877400699,-0.25747931536272817,0.1719440925783458,USD_CAD,10,3.0,long,218
152,-0.06212615933951427,0.07827019442432558,-0.2155357404111924,0.09128342173216386,66,-0.14212015759495597,0.10928501004736874,-0.3563187772877987,0.07207846209788674,USD_CAD,10,3.0,short,218
379,0.04660101208130017,0.049163219369618205,-0.04975889788315151,0.14296092204575184,163,0.10623010658586196,0.07165099317625377,-0.034205840039595425,0.24666605321131935,USD_CAD,14,1.5,long,542
379,-0.040280352932302546,0.0496938840758582,-0.13768036572098463,0.057119659856379526,163,-0.15621436903765518,0.06961078849534881,-0.2926515144885389,-0.019777223586771503,USD_CAD,14,1.5,short,542
253,0.08361265949933544,0.059947897742225434,-0.03388522007542641,0.2011105390740973,109,0.08761876626328663,0.08792217094250472,-0.08470868878402263,0.25994622131059586,USD_CAD,14,2.0,long,362
253,-0.020863454119760587,0.06049201894452631,-0.13942781125103215,0.09770090301151099,109,-0.03279863551242539,0.0857104829029659,-0.20079118200223856,0.13519391097738775,USD_CAD,14,2.0,short,362
186,0.16796201302437896,0.06996575640348379,0.030829130473550737,0.3050948955752072,80,0.020292795018530818,0.10058945902454364,-0.1768625446695747,0.21744813470663635,USD_CAD,14,2.5,long,266
