tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n
35,-0.4140960327709109,0.1540537990412779,-0.7160414788918156,-0.11215058665000621,16,-0.25,0.25,-0.74,0.24,EUR_USD,21,2.0,short,51
26,-0.13596909320242287,0.19147594910529295,-0.511261953448797,0.23932376704395128,12,0.0,0.30151134457776363,-0.5909622353724167,0.5909622353724167,EUR_USD,21,2.5,long,38
23,0.014835325942331268,0.20478114349729787,-0.3865357153123725,0.4162063671970351,10,0.0,0.3333333333333333,-0.6533333333333333,0.6533333333333333,EUR_USD,21,2.5,short,33
28,0.044467215046068605,0.18292515313565402,-0.31406608509981326,0.40300051519195046,12,-0.05327231524758453,0.28993301809446975,-0.6215410307127452,0.5149964002175761,EUR_USD,21,3.0,long,40
20,-0.16344235836480275,0.22087154345555066,-0.5963505835376821,0.26946586680807655,9,0.06421923195503491,0.3394631362372145,-0.6011285150699056,0.7295669789799754,EUR_USD,21,3.0,short,29
54,0.010689797856943021,0.1363041001149598,-0.2564662383683782,0.2778458340822642,24,-0.35850751863750796,0.19019578798533693,-0.7312912630887684,0.01427622581375243,GBP_USD,7,1.5,long,78
55,0.012750193877334807,0.13544144722250945,-0.25271504267878375,0.2782154304334533,24,0.2645922754762733,0.19846331441653878,-0.12439582078014272,0.6535803717326893,GBP_USD,7,1.5,short,79
30,0.04790102258704095,0.18295832253949965,-0.31069728959037834,0.4064993347644602,13,-0.07692307692307693,0.2878197989826109,-0.6410498829289943,0.48720372908284043,GBP_USD,7,2.0,long,43
32,-0.12626945962571295,0.17794242211222533,-0.47503660696567457,0.22249768771424866,15,0.2,0.2618614682831909,-0.3132484778350541,0.7132484778350541,GBP_USD,7,2.0,short,47
21,0.047619047619047616,0.22335313142016333,-0.3901530899644725,0.48539118520256774,9,0.5555555555555556,0.2939723678960656,-0.020630285520732983,1.1317413966318441,GBP_USD,7,2.5,long,30
27,0.37977936061739115,0.17771204948581407,0.031463743625195606,0.7280949776095866,12,0.0979385590335806,0.28756571687405086,-0.4656902460395591,0.6615673641067203,GBP_USD,7,2.5,short,39
21,-0.23809523809523808,0.21717627144745486,-0.6637607301322496,0.1875702539417734,10,-0.05005806740575445,0.3201451330950599,-0.6775425282720718,0.5774263934605629,GBP_USD,7,3.0,long,31
17,0.29411764705882354,0.23894230601870473,-0.1742092727378377,0.7624445668554848,8,0.2937768264288199,0.34671371633281944,-0.3857820575835062,0.973335710441146,GBP_USD,7,3.0,short,25
55,0.028677256077725876,0.13500653078212305,-0.23593554425523527,0.293290056410687,24,-0.27517418530417465,0.19613869065039277,-0.6596060189789446,0.1092576483705952,GBP_USD,10,1.5,long,79
51,-0.10389684974012912,0.13994570963187977,-0.3781904406186135,0.17039674113835523,22,0.37955520961047995,0.1987670523821625,-0.010028213058558555,0.7691386322795184,GBP_USD,10,1.5,short,73
34,-0.17647058823529413,0.17134566617751038,-0.5123080939432144,0.15936691747262619,15,0.06666666666666667,0.2666666666666666,-0.45599999999999985,0.5893333333333332,GBP_USD,10,2.0,long,49
35,-0.2,0.16803361008336118,-0.529345875763388,0.1293458757633879,16,0.25,0.25,-0.24,0.74,GBP_USD,10,2.0,short,51
23,0.043478260869565216,0.21299910806810243,-0.37399999094391556,0.46095651268304594,11,0.45454545454545453,0.2816715160878121,-0.09753071698665722,1.0066216260775662,GBP_USD,10,2.5,long,34
26,0.3076923076923077,0.1902971827208151,-0.0652901704404899,0.6806747858251053,12,0.43127189236691393,0.25818086911275445,-0.07476261109408483,0.9373063958279126,GBP_USD,10,2.5,short,38
